" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"19","17"," Cloudy with a Chance of Meatballs","Sony","$347","-0.6%","7","-2","$50","$537,482","10","Unknown"
"20","16"," Tinker Bell and the Lost Treasure","Disney","$342","-15.6%","2","-","$171","$189,076","12","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","2012","Sony","$343,090","-","38","-","$9,029","$343,090","1","Unknown"
"2","1","A Christmas Carol (2009)","Disney","$204,414","-26.7%","44","-","$4,646","$566,441","2","Unknown"
"3","2","Michael Jackson's This Is It","Sony","$20,881","-75.1%","28","-2","$746","$511,318","3","Unknown"
"4","-","Ghosts of Girlfriends Past","Importadora","$15,107","-","9","-","$1,679","$89,871","7","USA"
"5","-","My Sister's Keeper","Importadora","$14,999","-","9","-","$1,667","$69,074","7","Unknown"
"6","3","Drag Me to Hell","UIP","$11,020","-76.5%","12","-8","$918","$188,443","3","USA"
"7","4","Saw VI","Disney","$10,643","-68.2%","27","-","$394","$337,084","4","Unknown"
"8","6","Whiteout","Importadora","$10,481","-45.1%","9","-","$1,165","$38,761","2","Unknown"
"9","5"," El Ratón Pérez 2","Importadora","$8,581","-62.2%","15","-","$572","$124,566","3","Argentina, Spain"
"10","9","The Final Destination","Importadora","$7,085","-51.4%","10","-2","$709","$554,823","5","Unknown"
"11","8","Imagine That","UIP","$6,829","-56.2%","15","-","$455","$177,912","4","Germany, USA"
"12","7","Push","n/a","$4,251","-73.6%","12","-","$354","$26,835","2","USA"
"13","11"," Un Novio para mi mujer","Importadora","$3,387","-53.8%","7","+1","$484","$16,769","2","Argentina"
"14","10","Grace Is Gone","n/a","$2,851","-68.3%","7","+1","$407","$16,124","2","USA"
"15","14"," El delfín: La historia de un soñador (The Dolphin: Story of a Dreamer)","Fox","$963","-50.2%","8","+6","$120","$146,413","6","Unknown"
"16","17"," Tinker Bell and the Lost Treasure","Disney","$405","-47.9%","2","-","$203","$188,703","11","Unknown"
"17","16"," Cloudy with a Chance of Meatballs","Sony","$349","-58.8%","9","+7","$39","$534,426","9","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","A Christmas Carol (2009)","Disney","$279,015","-","44","-","$6,341","$279,015","1","Unknown"
"2","1","Michael Jackson's This Is It","Sony","$83,686","-53.4%","30","-","$2,790","$450,478","2","Unknown"
"3","-","Drag Me to Hell","UIP","$46,845","-","20","-","$2,342","$157,239","2","USA"
"4","3","Saw VI","Disney","$33,443","-47.6%","27","-","$1,239","$311,961","3","Unknown"
"5","-"," El Ratón Pérez 2","Importadora","$22,694","-","15","-","$1,513","$112,258","2","Argentina, Spain"
"6","N","Whiteout","Importadora","$19,078","-","9","-","$2,120","$19,078","1","Unknown"
"7","N","Push","n/a","$16,088","-","12","-","$1,341","$16,088","1","USA"
"8","4","Imagine That","UIP","$15,583","-57.3%","15","-2","$1,039","$167,590","3","Germany, USA"
"9","2","The Final Destination","Importadora","$14,574","-80.1%","12","-16","$1,215","$542,657","4","Unknown"
