" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Dolphin Tale","Importadora","$163,693","-","23","-","$7,117","$163,693","1"
"2","1","Real Steel","Disney","$155,059","-39.4%","44","-","$3,524","$954,925","3"
"3","N","Paranormal Activity 3","UIP","$119,603","-","25","-","$4,784","$119,603","1"
"4","N","What's Your Number?","Fox","$27,135","-","15","-","$1,809","$27,135","1"
"5","4","Bad Teacher","Sony","$21,712","-47.8%","17","-","$1,277","$81,147","2"
"6","2","The Lion King (in 3D)","Disney","$15,550","-75.0%","23","-4","$676","$1,283,021","6"
"7","3","Final Destination 5","Importadora","$10,830","-75.9%","12","-41","$903","$775,917","5"
"8","5","Friends with Benefits","Sony","$7,765","-62.8%","22","-2","$353","$180,052","4"
"9","7","Midnight in Paris","Venus","$5,189","-60.0%","9","-4","$577","$48,762","3"
"10","8","Crazy, Stupid, Love.","Importadora","$2,451","-49.6%","2","-","$1,226","$174,440","7"
"11","6","Abduction","n/a","$2,214","-83.9%","3","-10","$738","$182,855","5"
"12","11","The Smurfs","Sony","$1,288","-45.5%","11","-7","$117","$1,080,362","12"
"13","9","Horrible Bosses","Importadora","$1,281","-67.8%","3","-3","$427","$148,254","6"
"14","12","Green Lantern","Importadora","$540","-10.0%","9","+6","$60","$1,253,182","10"
"15","13","Rise of the Planet of the Apes","Fox","$126","-72.5%","1","-","$126","$410,377","8"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Real Steel","Disney","$255,851","-21.7%","44","-","$5,815","$712,152","2"
"2","2","The Lion King (in 3D)","Disney","$62,223","-45.3%","27","-3","$2,305","$1,255,841","5"
"3","3","Final Destination 5","Importadora","$44,935","-40.5%","53","-","$848","$747,124","4"
"4","N","Bad Teacher","Sony","$41,563","-","17","-","$2,445","$41,563","1"
"5","4","Friends with Benefits","Sony","$20,850","-46.5%","24","-","$869","$162,893","3"
"6","6","Abduction","n/a","$13,775","-15.8%","13","-8","$1,060","$174,715","4"
"7","5","Midnight in Paris","Venus","$12,967","-26.1%","13","+3","$997","$35,975","2"
"8","13","Crazy, Stupid, Love.","Importadora","$4,860","+1,359.5%","2","+1","$2,430","$169,765","6"
"9","8","Horrible Bosses","Importadora","$3,980","-4.7%","6","-9","$663","$145,431","5"
"10","9","The Dilemma","UIP","$2,753","-19.5%","15","+3","$184","$53,877","4"
"11","10","The Smurfs","Sony","$2,365","-20.9%","18","+1","$131","$3,029,222","11"
"12","11","Green Lantern","Importadora","$600","-78.5%","3","-10","$200","$1,252,642","9"
"13","12","Rise of the Planet of the Apes","Fox","$458","-56.2%","1","-1","$458","$410,161","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Real Steel","Disney","$326,706","-","44","-","$7,425","$326,706","1"
"2","1","The Lion King (in 3D)","Disney","$113,777","-33.2%","30","-","$3,793","$1,167,278","4"
"3","-","Final Destination 5","Importadora","$75,515","-","53","-","$1,425","$669,407","3"
"4","2","Friends with Benefits","Sony","$38,985","-24.6%","24","-","$1,624","$121,134","2"
"5","N","Midnight in Paris","Venus","$17,556","-","10","-","$1,756","$17,556","1"
"6","-","Abduction","n/a","$16,361","-","21","-","$779","$154,815","3"
"7","-","Conan the Barbarian (2011)","n/a","$15,662","-","21","-","$746","$78,554","2"
"8","-","Horrible Bosses","Importadora","$4,175","-","15","-","$278","$138,233","4"
"9","-","The Dilemma","UIP","$3,419","-","12","-","$285","$49,693","3"
"10","3","The Smurfs","Sony","$2,989","-47.1%","17","-9","$176","$3,026,805","10"
"11","-","Green Lantern","Importadora","$2,788","-","13","-","$214","$1,251,624","8"
"12","-","Rise of the Planet of the Apes","Fox","$1,045","-","2","-","$523","$409,702","6"
"13","-","Crazy, Stupid, Love.","Importadora","$333","-","1","-","$333","$164,491","5"
"14","-","The Hangover Part II","Importadora","$297","-","2","-","$149","$448,388","17"
"15","4","Fright Night (2011)","Disney","$236","-94.3%","2","-3","$118","$482,344","6"
"16","5","Priest","Sony","$53","-98.4%","1","-16","$53","$79,331","5"
"17","6","Prom","Disney","$36","-92.3%","2","-","$18","$149,052","9"
"18","-","Captain America: The First Avenger","UIP","$34","-","2","-","$17","$1,490,660","11"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Lion King (in 3D)","Disney","$261,303","-32.0%","40","+10","$6,533","$765,538","2"
"2","N","Final Destination 5","Importadora","$239,768","-","53","-","$4,524","$239,768","1"
"3","N","Abduction","n/a","$55,246","-","21","-","$2,631","$55,246","1"
"4","3","Horrible Bosses","Importadora","$26,559","-44.5%","15","-","$1,771","$99,465","2"
"5","N","The Dilemma","UIP","$19,486","-","30","-","$650","$19,486","1"
"6","2","Fright Night (2011)","Disney","$15,962","-68.5%","44","-","$363","$470,570","4"
"7","4","Rise of the Planet of the Apes","Fox","$13,445","-64.8%","23","-5","$585","$397,316","4"
"8","5","Crazy, Stupid, Love.","Importadora","$11,800","-68.9%","14","-","$843","$148,180","3"
"9","6","The Smurfs","Sony","$9,027","-60.9%","32","+3","$282","$3,017,078","8"
"10","9","Limitless","n/a","$8,355","-49.3%","10","-","$836","$32,640","2"
"11","7","Green Lantern","Importadora","$6,858","-70.0%","19","-11","$361","$1,244,162","6"
"12","8","Priest","Sony","$6,530","-69.0%","34","+22","$192","$147,887","3"
"13","11","The Hangover Part II","Importadora","$2,120","-66.9%","2","-1","$1,060","$445,840","15"
"14","N","The Killer Inside Me","n/a","$1,430","-","2","-","$715","$1,430","1"
"15","12","Hall Pass","Importadora","$838","-67.2%","3","-3","$279","$176,247","21"
"16","10","Cowboys & Aliens","UIP","$622","-91.4%","15","-4","$41","$181,120","5"
"17","13","Hereafter","Importadora","$565","-75.7%","2","-3","$283","$98,231","26"
"18","16","Captain America: The First Avenger","UIP","$516","-34.4%","11","-","$47","$1,489,920","9"
"19","-","Prom","Disney","$408","-","9","-","$45","$148,547","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Lion King (in 3D)","Disney","$384,464","-","30","-","$12,815","$384,464","1"
"2","2","Fright Night (2011)","Disney","$50,642","-43.2%","44","-","$1,151","$434,818","3"
"3","N","Horrible Bosses","Importadora","$47,833","-","15","-","$3,189","$47,833","1"
"4","1","Rise of the Planet of the Apes","Fox","$38,174","-59.3%","28","+5","$1,363","$368,737","3"
"5","6","Crazy, Stupid, Love.","Importadora","$37,876","-9.3%","14","-","$2,705","$117,023","2"
"6","5","The Smurfs","Sony","$23,075","-53.2%","29","-11","$796","$3,003,085","7"
"7","3","Green Lantern","Importadora","$22,863","-68.1%","30","-19","$762","$1,232,335","5"
"8","4","Priest","Sony","$21,089","-61.4%","12","-22","$1,757","$63,675","2"
"9","N","Limitless","n/a","$16,464","-","10","-","$1,646","$16,464","1"
"10","7","Cowboys & Aliens","UIP","$7,192","-24.8%","19","-6","$379","$149,440","4"
"11","15","The Hangover Part II","Importadora","$6,399","+657.3%","3","+1","$2,133","$440,640","14"
"12","9","Hall Pass","Importadora","$2,552","-42.0%","6","-","$425","$174,162","20"
"13","11","Hereafter","Importadora","$2,324","-40.6%","5","-1","$465","$96,480","25"
"14","10","Blue Valentine","n/a","$1,796","-58.3%","4","-","$449","$8,485","2"
"15","8","Management","n/a","$867","-89.9%","4","-4","$217","$44,043","3"
"16","14","Captain America: The First Avenger","UIP","$786","-42.9%","11","-","$71","$1,489,404","8"
"17","17","Mr. Popper's Penguins","Fox","$118","-65.7%","1","-","$118","$429,677","9"
"18","18","Harry Potter and the Deathly Hallows (Part Two)","Importadora","$61","-55.8%","1","-1","$61","$2,595,866","10"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","3","Rise of the Planet of the Apes","Fox","$93,790","-28.1%","23","-8","$4,078","$293,309","2"
"2","1","Fright Night (2011)","Disney","$89,136","-51.6%","44","-","$2,026","$344,171","2"
"3","2","Green Lantern","Importadora","$71,683","-47.3%","49","-5","$1,463","$1,190,633","4"
"4","N","Priest","Sony","$54,614","-","34","-","$1,606","$54,614","1"
"5","4","The Smurfs","Sony","$49,282","-47.6%","40","-8","$1,232","$2,966,900","6"
"6","N","Crazy, Stupid, Love.","Importadora","$41,770","-","14","-","$2,984","$41,770","1"
"7","5","Cowboys & Aliens","UIP","$9,567","-71.3%","25","-","$383","$142,247","3"
"8","6","Management","n/a","$8,543","-55.8%","8","+5","$1,068","$38,572","2"
"9","-","Hall Pass","Importadora","$4,403","-","6","-","$734","$169,198","19"
"10","N","Blue Valentine","n/a","$4,307","-","4","-","$1,077","$4,307","1"
"11","12","Hereafter","Importadora","$3,913","+132.9%","6","+3","$652","$92,454","24"
"12","8","Super 8","UIP","$2,063","-72.7%","3","-22","$688","$218,905","5"
"13","7","Prom","Disney","$2,004","-74.9%","15","-5","$134","$147,212","5"
"14","10","Captain America: The First Avenger","UIP","$1,377","-74.4%","11","+5","$125","$1,488,618","7"
"15","11","The Hangover Part II","Importadora","$845","-73.9%","2","-","$423","$448,845","13"
"16","9","The Beaver","n/a","$618","-88.9%","4","-3","$155","$32,401","3"
"17","15","Mr. Popper's Penguins","Fox","$344","-40.8%","1","-3","$344","$429,557","8"
"18","16","Harry Potter and the Deathly Hallows (Part Two)","Importadora","$138","-54.0%","2","-","$69","$2,595,696","9"
"19","17","Cars 2","Disney","$51","-66.0%","1","-","$51","$1,625,985","12"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Fright Night (2011)","Disney","$184,174","-","44","-","$4,186","$184,174","1"
"2","1","Green Lantern","Importadora","$135,965","-44.2%","54","-17","$2,518","$1,078,115","3"
"3","N","Rise of the Planet of the Apes","Fox","$130,476","-","31","-","$4,209","$130,476","1"
"4","2","The Smurfs","Sony","$93,955","-49.3%","48","+3","$1,957","$2,892,960","5"
"5","3","Cowboys & Aliens","UIP","$33,307","-50.2%","25","-","$1,332","$143,502","2"
"6","N","Management","n/a","$19,343","-","3","-","$6,448","$19,343","1"
"7","6","Prom","Disney","$7,987","-46.3%","20","-","$399","$142,062","4"
"8","4","Super 8","UIP","$7,558","-58.5%","25","-","$302","$216,382","4"
"9","-","The Beaver","n/a","$5,565","-","7","-","$795","$29,592","2"
"10","5","Captain America: The First Avenger","UIP","$5,382","-69.8%","6","-30","$897","$1,486,005","6"
"11","7","The Hangover Part II","Importadora","$3,233","-42.4%","2","-5","$1,617","$447,205","12"
"12","8","Hereafter","Importadora","$1,680","-48.9%","3","-","$560","$85,343","23"
"13","-"," The Human Contract","n/a","$1,303","-","3","-","$434","$36,542","3"
