" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"4","4","The Last Airbender","UIP","$23,511","+26.1%","5","+1","$4,702","$3,083,914","11"
"5","-","A Nightmare on Elm Street (2010)","WB","$22,022","-","7","-","$3,146","$369,192","23"
"6","3","Going the Distance","WB","$11,667","-72.1%","9","-9","$1,296","$73,218","2"
"7","-","Life as We Know It","WB","$8,599","-","25","-","$344","$8,599","-"
"8","5","Grown Ups","Sony","$3,666","-67.3%","3","-3","$1,222","$464,738","8"
"9","8","The Sorcerer's Apprentice","Disney","$1,680","+39.1%","2","-","$840","$2,001,880","13"
"10","7"," Cloudy with a Chance of Meatballs","Sony","$341","-88.3%","1","-5","$341","$667,890","53"
"11","9","Zombieland","Sony","$164","-49.2%","1","-","$164","$220,405","45"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Other Guys","Sony","$201,204","-","30","-","$6,707","$216,744","1"
"2","1","Legend of the Guardians: The Owls of Ga'Hoole","WB","$140,365","-42.9%","40","-10","$3,509","$550,787","2"
"3","N","Going the Distance","WB","$41,798","-","18","-","$2,322","$46,336","1"
"4","4","The Last Airbender","UIP","$18,639","+72.5%","4","+1","$4,660","$3,049,064","10"
"5","5","Grown Ups","Sony","$11,212","+176.2%","6","+1","$1,869","$455,036","7"
"6","-","Predators","Fox","$7,184","-","3","-","$2,395","$789,793","14"
"7","-"," Cloudy with a Chance of Meatballs","Sony","$2,917","-","6","-","$486","$667,340","52"
"8","3","The Sorcerer's Apprentice","Disney","$1,208","-89.6%","2","-3","$604","$1,998,497","12"
"9","6","Zombieland","Sony","$323","-81.1%","1","-1","$323","$220,241","44"
"10","7","Salt","Sony","$56","-95.0%","1","-","$56","$2,612,235","11"
"11","8","Cats & Dogs: Revenge of Kitty Galore","WB","$19","-90.6%","1","-","$19","$632,353","8"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Legend of the Guardians: The Owls of Ga'Hoole","WB","$245,797","-","50","-","$4,916","$312,480","1"
"2","1","Resident Evil: Afterlife","Indep.","$113,605","-69.4%","53","+33","$2,143","$588,583","2"
"3","4","The Sorcerer's Apprentice","Disney","$11,600","-9.9%","5","+2","$2,320","$1,992,316","11"
"4","7","The Last Airbender","UIP","$10,807","+216.6%","3","-1","$3,602","$3,023,681","9"
"5","3","Grown Ups","Sony","$4,060","-74.7%","5","-5","$812","$443,455","6"
"6","2","Zombieland","Sony","$1,712","-94.3%","2","-","$856","$219,705","43"
"7","5","Salt","Sony","$1,115","-83.7%","1","-","$1,115","$2,612,078","10"
"8","6","Cats & Dogs: Revenge of Kitty Galore","WB","$202","-94.7%","1","-8","$202","$601,983","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Resident Evil: Afterlife","Indep.","$370,844","-","20","-","$18,542","$370,844","1"
"2","-","Zombieland","Sony","$30,034","-","2","-","$15,017","$216,459","42"
"3","1","Grown Ups","Sony","$16,067","-62.6%","10","-5","$1,607","$436,724","5"
"4","4","The Sorcerer's Apprentice","Disney","$12,870","+171.0%","3","+2","$4,290","$1,949,494","10"
"5","5","Salt","Sony","$6,851","+135.7%","1","-2","$6,851","$2,609,778","9"
"6","2","Cats & Dogs: Revenge of Kitty Galore","WB","$3,820","-69.6%","9","-1","$424","$594,974","6"
"7","3","The Last Airbender","UIP","$3,413","-46.1%","4","-2","$853","$2,981,978","8"
"8","8","The Bounty Hunter","Sony","$1,761","+35.1%","1","-","$1,761","$218,803","21"
"9","-","The Back-Up Plan","Sony","$958","-","1","-","$958","$110,961","7"
"10","6","Inception","WB","$916","-47.6%","2","+1","$458","$2,381,245","11"
"11","7","The Book of Eli","Sony","$207","-86.8%","1","-","$207","$606,113","24"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Grown Ups","Sony","$42,976","-37.3%","15","-","$2,865","$416,505","4"
"2","2","Cats & Dogs: Revenge of Kitty Galore","WB","$12,544","-54.0%","10","-3","$1,254","$588,585","5"
"3","3","The Last Airbender","UIP","$6,330","-7.5%","6","-","$1,055","$2,977,014","7"
"4","-","The Sorcerer's Apprentice","Disney","$4,749","-","1","-","$4,749","$1,933,545","9"
"5","4","Salt","Sony","$2,907","-36.4%","3","-12","$969","$2,601,713","8"
"6","-","Inception","WB","$1,748","-","1","-1","$1,748","$2,379,660","10"
"7","5","The Book of Eli","Sony","$1,567","-37.9%","1","-10","$1,567","$605,737","23"
"8","-","The Bounty Hunter","Sony","$1,304","-","1","-","$1,304","$216,745","20"
"9","7","Prince of Persia: The Sands of Time","Disney","$456","+16.3%","1","-","$456","$4,105,296","17"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Grown Ups","Sony","$68,484","-24.1%","15","-","$4,566","$353,424","3"
"2","2","Cats & Dogs: Revenge of Kitty Galore","WB","$27,269","-56.8%","13","-17","$2,098","$548,950","4"
"3","3","The Last Airbender","UIP","$6,844","-79.2%","6","-21","$1,141","$2,963,851","6"
"4","4","Salt","Sony","$4,573","-76.5%","15","-","$305","$2,596,441","7"
"5","5","The Book of Eli","Sony","$2,523","-84.0%","11","-","$229","$603,210","22"
"6","-","The Losers","WB","$2,486","-","1","-","$2,486","$148,097","16"
"7","9","Prince of Persia: The Sands of Time","Disney","$392","-36.3%","1","-","$392","$4,104,340","16"
"8","-","When in Rome","Disney","$281","-","1","-","$281","$317,776","23"
"0","8","Inception","WB","n/a","-100.0%","2","-","$1,674","n/a","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","2","Grown Ups","Sony","$90,217","-37.6%","15","-","$6,014","$268,110","2"
"2","1","Cats & Dogs: Revenge of Kitty Galore","WB","$63,175","-57.2%","30","-16","$2,106","$489,395","3"
"3","3","The Last Airbender","UIP","$32,916","-50.3%","27","-16","$1,219","$2,943,871","5"
"4","4","Salt","Sony","$19,494","-40.5%","15","-22","$1,300","$2,586,713","6"
"5","5","The Book of Eli","Sony","$15,769","+49.5%","11","+7","$1,434","$597,433","21"
"6","10","The Karate Kid","Sony","$7,296","+205.0%","4","-","$1,824","$3,346,220","13"
"7","8","The Sorcerer's Apprentice","Disney","$6,485","+114.6%","2","-2","$3,243","$1,913,041","7"
"8","6","Inception","WB","$2,794","-45.6%","2","-3","$1,397","$2,369,800","8"
