" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"2","1","2012","Sony","$270,256","-70.2%","75","-","$3,603","$6,445,291","4"
"3","4","Old Dogs","Disney","$134,810","+1,720.5%","30","-","$4,494","$167,613","1"
"4","3","A Christmas Carol (2009)","Disney","$18,298","-76.5%","9","-12","$2,033","$471,524","3"
"5","6","G.I. Joe","UIP","$602","+130.7%","1","-","$602","$2,221,932","18"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","2012","Sony","$906,815","-61.9%","75","-","$12,091","$6,032,405","3"
"2","N","Ninja Assassin","WB","$400,737","-","50","-","$8,015","$453,559","1"
"3","2","A Christmas Carol (2009)","Disney","$77,887","-63.4%","21","-35","$3,709","$430,960","2"
"4","-","Old Dogs","Disney","$7,405","-","30","-","$247","$7,405","-"
"5","3","Michael Jackson's This Is It","Sony","$1,458","-80.5%","4","-2","$365","$827,814","5"
"6","5","G.I. Joe","UIP","$261","-89.9%","1","-1","$261","$2,190,930","17"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","2012","Sony","$2,378,271","+51.3%","75","-","$31,710","$4,629,101","2"
"2","4","A Christmas Carol (2009)","Disney","$212,796","+1,186.4%","56","+33","$3,800","$279,991","1"
"3","2","Michael Jackson's This Is It","Sony","$7,494","-88.2%","6","-19","$1,249","$824,718","4"
"4","6","Orphan","WB","$3,442","-67.4%","1","-3","$3,442","$614,532","15"
"5","11","G.I. Joe","UIP","$2,580","+33.8%","2","-","$1,290","$2,190,086","16"
"6","7","G-Force","Disney","$1,926","-80.9%","10","+8","$193","$1,231,177","10"
"7","12","Harry Potter and the Half Blood Prince","WB","$1,366","+469.2%","1","-","$1,366","$3,749,876","19"
"8","3"," Cloudy with a Chance of Meatballs","Sony","$1,170","-95.6%","2","-5","$585","$664,300","6"
"9","5","Inglourious Basterds","UIP","$954","-93.1%","3","-2","$318","$568,710","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","2012","Sony","$1,572,070","-","75","-","$20,961","$1,572,070","1"
"2","1","Michael Jackson's This Is It","Sony","$63,337","-77.5%","25","-","$2,533","$812,737","3"
"3","3"," Cloudy with a Chance of Meatballs","Sony","$26,677","+5.6%","7","-8","$3,811","$662,103","5"
"4","-","A Christmas Carol (2009)","Disney","$16,542","-","23","-","$719","$16,542","-"
"5","2","Inglourious Basterds","UIP","$13,799","-51.1%","5","-9","$2,760","$566,333","5"
"6","-","Orphan","WB","$10,546","-","4","-","$2,637","$605,200","14"
"7","5","G-Force","Disney","$10,076","-8.0%","2","-1","$5,038","$1,227,692","9"
"8","9","Surrogates","Disney","$9,484","+312.2%","1","-3","$9,484","$914,889","7"
"9","7","The Ugly Truth","Sony","$8,726","+2.3%","4","-6","$2,182","$639,473","6"
"10","11","Whiteout","WB","$3,262","+1,424.3%","1","-","$3,262","$173,993","6"
"11","6","G.I. Joe","UIP","$1,929","-81.6%","2","-2","$965","$2,185,119","15"
"12","8","Harry Potter and the Half Blood Prince","WB","$240","-92.7%","1","-1","$240","$3,747,904","18"
"13","4","The Proposal","Disney","$128","-98.9%","1","-4","$128","$890,745","13"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Michael Jackson's This Is It","Sony","$280,913","-21.6%","25","-","$11,237","$713,008","2"
"2","3","Inglourious Basterds","UIP","$28,206","-49.5%","14","-7","$2,015","$543,244","4"
"3","2"," Cloudy with a Chance of Meatballs","Sony","$25,267","-65.9%","15","-13","$1,684","$631,864","4"
"4","5","The Proposal","Disney","$11,546","+10.4%","5","+2","$2,309","$884,411","12"
"5","7","G-Force","Disney","$10,956","+43.7%","3","-","$3,652","$1,213,454","8"
"6","9","G.I. Joe","UIP","$10,453","+197.0%","4","+2","$2,613","$2,177,431","14"
"7","4","The Ugly Truth","Sony","$8,531","-71.5%","10","-8","$853","$629,543","5"
"8","8","Harry Potter and the Half Blood Prince","WB","$3,298","-50.8%","2","-1","$1,649","$3,747,053","17"
"9","6","Surrogates","Disney","$2,301","-73.9%","4","-1","$575","$903,912","6"
"10","11","Public Enemies","UIP","$1,601","+118.4%","1","-","$1,601","$735,019","16"
"11","10","Whiteout","WB","$214","-74.8%","1","-1","$214","$170,627","5"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Michael Jackson's This Is It","Sony","$358,140","-","25","-","$14,326","$358,140","1"
"2","1"," Cloudy with a Chance of Meatballs","Sony","$74,043","-57.5%","28","-13","$2,644","$597,444","3"
"3","2","Inglourious Basterds","UIP","$55,848","-53.8%","21","-3","$2,659","$492,884","3"
"4","3","The Ugly Truth","Sony","$29,909","-59.2%","18","-12","$1,662","$616,261","4"
"5","5","The Proposal","Disney","$10,461","-38.5%","3","-4","$3,487","$867,658","11"
"6","4","Surrogates","Disney","$8,827","-56.4%","5","-8","$1,765","$897,884","5"
"7","-","G-Force","Disney","$7,622","-","3","-","$2,541","$1,200,491","7"
"8","10","Harry Potter and the Half Blood Prince","WB","$6,703","+4,522.8%","3","+2","$2,234","$3,738,732","16"
"9","6","G.I. Joe","UIP","$3,519","-45.7%","2","-2","$1,760","$2,165,544","13"
"10","8","Whiteout","WB","$849","-77.8%","2","-4","$425","$170,024","4"
"11","7","Public Enemies","UIP","$733","-87.3%","1","-1","$733","$732,577","15"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1"," Cloudy with a Chance of Meatballs","Sony","$174,228","-36.6%","41","-","$4,249","$503,373","2"
"2","2","Inglourious Basterds","UIP","$120,971","-31.2%","24","-","$5,040","$391,347","2"
"3","3","The Ugly Truth","Sony","$73,298","-57.1%","30","-","$2,443","$576,963","3"
"4","4","Surrogates","Disney","$20,246","-59.0%","13","-9","$1,557","$876,246","4"
"5","-","The Proposal","Disney","$17,017","-","7","-","$2,431","$845,705","10"
"6","6","G.I. Joe","UIP","$6,478","-57.2%","4","-2","$1,620","$2,149,727","12"
"7","7","Public Enemies","UIP","$5,784","-7.0%","2","-2","$2,892","$726,693","14"
"8","5","Whiteout","WB","$3,817","-82.4%","6","-10","$636","$166,457","3"
"9","8","Star Trek","UIP","$1,046","-67.7%","2","-","$523","$1,057,869","20"
"10","9","Harry Potter and the Half Blood Prince","WB","$145","-94.6%","1","-1","$145","$3,715,147","15"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N"," Cloudy with a Chance of Meatballs","Sony","$274,575","-","41","-","$6,697","$288,740","1"
"2","5","Inglourious Basterds","UIP","$175,734","+704.0%","24","-","$7,322","$197,592","1"
"3","1","The Ugly Truth","Sony","$170,704","-29.8%","30","-","$5,690","$476,391","2"
"4","2","Surrogates","Disney","$49,419","-69.4%","22","-8","$2,246","$835,989","3"
"5","3","Whiteout","WB","$21,685","-78.1%","16","-10","$1,355","$155,240","2"
"6","4","G.I. Joe","UIP","$15,129","-41.1%","6","-1","$2,522","$2,137,286","11"
"7","6","Public Enemies","UIP","$6,217","-68.7%","4","-3","$1,554","$717,711","13"
"8","8","Star Trek","UIP","$3,235","-20.9%","2","-","$1,618","$1,055,651","19"
"9","10","Harry Potter and the Half Blood Prince","WB","$2,701","+250.8%","2","+1","$1,351","$3,713,801","14"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Ugly Truth","Sony","$243,288","-","30","-","$8,110","$8,110","1"
"2","1","Surrogates","Disney","$161,402","-51.3%","30","-","$5,380","$52,483","2"
"3","N","Whiteout","WB","$98,939","-","26","-","$3,805","$98,939","1"
"4","3","G.I. Joe","UIP","$25,698","+32.2%","7","+5","$3,671","$2,106,241","10"
"5","-","Inglourious Basterds","UIP","$21,858","-","24","-","$911","$21,858","-"
"6","5","Public Enemies","UIP","$19,891","+172.5%","7","+3","$2,842","$703,427","12"
"7","2","G-Force","Disney","$11,815","-82.3%","11","-19","$1,074","$1,183,643","4"
"8","4","Star Trek","UIP","$4,087","-71.1%","2","-4","$2,044","$1,048,996","18"
"9","8","The Proposal","Disney","$1,696","-16.1%","1","-1","$1,696","$818,998","8"
"10","6","Harry Potter and the Half Blood Prince","WB","$770","-72.3%","1","-","$770","$3,709,805","13"
"11","7","The Hangover","WB","$598","-76.8%","1","-2","$598","$249,579","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","3","Surrogates","Disney","$331,338","+1,135.0%","30","-","$11,045","$455,205","1","Unknown"
"2","1","G-Force","Disney","$66,915","-67.7%","30","-3","$2,231","$1,157,327","3","Unknown"
"3","7","G.I. Joe","UIP","$19,439","+794.2%","2","-","$9,720","$2,065,879","9","Unknown"
"4","2","Star Trek","UIP","$14,130","-52.4%","6","-","$2,355","$1,039,114","17","USA"
"5","-","Public Enemies","UIP","$7,299","-","4","-","$1,825","$674,878","11","Unknown"
"6","5","Harry Potter and the Half Blood Prince","WB","$2,776","-8.3%","1","-1","$2,776","$3,708,364","12","Unknown"
"7","6","The Hangover","WB","$2,576","+1.2%","3","+2","$859","$247,695","6","USA"
"8","4","The Proposal","Disney","$2,021","-47.0%","2","-2","$1,011","$815,806","7","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","G-Force","Disney","$206,874","-26.8%","33","-","$6,269","$953,804","2","Unknown"
"2","-","Star Trek","UIP","$29,698","-","6","-","$4,950","$960,869","16","USA"
"3","-","Surrogates","Disney","$26,830","-","30","-","$894","$26,830","-","Unknown"
"4","2","The Proposal","Disney","$3,811","-15.4%","4","-3","$953","$775,333","6","USA"
"5","6","Harry Potter and the Half Blood Prince","WB","$3,028","+3,340.9%","2","+1","$1,514","$3,531,263","11","Unknown"
"6","3","The Hangover","WB","$2,546","-22.1%","1","-","$2,546","$233,314","5","USA"
"7","4","G.I. Joe","UIP","$2,174","+341.0%","2","+1","$1,087","$1,946,911","8","Unknown"
"8","5","Up","Disney","$728","+153.7%","1","-","$728","$1,479,223","9","USA"
"9","7","Orphan","WB","$30","-52.4%","1","-","$30","$485,515","7","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","3","G-Force","Disney","$282,537","+1,084.6%","33","+2","$8,562","$408,619","1","Unknown"
"2","1","The Proposal","Disney","$4,507","-90.4%","7","-23","$644","$764,593","5","USA"
"3","2","The Hangover","WB","$3,270","-88.1%","1","-13","$3,270","$226,957","4","USA"
"4","4","G.I. Joe","UIP","$493","-96.9%","1","-12","$493","$1,944,737","7","Unknown"
"5","12","Up","Disney","$287","-64.7%","1","-","$287","$1,478,495","8","USA"
"6","11","Harry Potter and the Half Blood Prince","WB","$88","-97.1%","1","-1","$88","$3,527,299","10","Unknown"
"7","5","Orphan","WB","$63","-99.5%","1","-8","$63","$485,354","6","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","The Proposal","Disney","$47,094","-43.6%","30","-","$1,570","$743,905","4","USA"
"2","2","The Hangover","WB","$27,395","-32.8%","14","-1","$1,957","$213,033","3","USA"
"3","-","G-Force","Disney","$23,850","-","31","-","$769","$23,850","-","Unknown"
"4","3","G.I. Joe","UIP","$15,787","-52.7%","13","-9","$1,214","$1,936,980","6","Unknown"
"5","4","Orphan","WB","$11,485","-63.8%","9","-11","$1,276","$478,163","5","Unknown"
"6","7","Land of the Lost","UIP","$4,954","+25.1%","5","-1","$991","$122,272","4","USA"
"7","5","UIP","$4,823","-21.1%","2","-1","$2,412","$4,469,608","12","USA",""
"8","12","Aliens in the Attic","Fox","$4,076","+702.4%","3","+2","$1,359","$190,963","6","Unknown"
"9","9","Public Enemies","UIP","$3,541","+149.9%","4","+3","$885","$635,146","8","Unknown"
"10","8","Ice Age: Dawn of the Dinosaurs","Fox","$3,518","+66.2%","4","+2","$880","$2,113,727","11","Unknown"
"11","11","Harry Potter and the Half Blood Prince","WB","$2,993","+187.5%","2","-","$1,497","$3,526,313","9","Unknown"
"12","6","Up","Disney","$812","-85.8%","1","-4","$812","$1,478,086","7","USA"
"-","10","The Taking of Pelham One, Two, Three","Sony","$97","-91.8%","1","-4","$97","$390,035","5","UK, USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","The Proposal","Disney","$83,425","-51.3%","30","-","$2,781","$665,002","3","USA"
"2","3","The Hangover","WB","$40,758","-48.9%","15","-","$2,717","$171,217","2","USA"
"3","2","G.I. Joe","UIP","$33,405","-60.3%","22","-18","$1,518","$1,904,363","5","Unknown"
"4","4","Orphan","WB","$31,681","-50.0%","20","-10","$1,584","$451,595","4","Unknown"
"5","11","UIP","$6,111","+742.9%","3","+2","$2,037","$4,460,090","11","USA",""
"6","7","Up","Disney","$5,735","-70.3%","5","-7","$1,147","$1,476,277","6","USA"
"7","5","Land of the Lost","UIP","$3,961","-89.5%","6","-9","$660","$114,678","3","USA"
"8","8","Ice Age: Dawn of the Dinosaurs","Fox","$2,117","-72.0%","2","-","$1,059","$2,109,254","10","Unknown"
"9","9","Public Enemies","UIP","$1,417","-68.1%","1","-1","$1,417","$629,496","7","Unknown"
"10","6","The Taking of Pelham One, Two, Three","Sony","$1,177","-95.3%","5","-17","$235","$389,762","4","UK, USA"
"11","10","Harry Potter and the Half Blood Prince","WB","$1,041","-64.4%","2","-","$521","$3,522,641","8","Unknown"
"12","12","Aliens in the Attic","Fox","$508","+257.8%","1","-","$508","$185,232","5","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","The Proposal","Disney","$171,156","-13.7%","30","-","$5,705","$527,193","2","USA"
"2","2","G.I. Joe","UIP","$84,088","-54.1%","40","-","$2,102","$1,868,450","4","Unknown"
"3","N","The Hangover","WB","$79,792","-","15","-","$5,319","$102,500","1","USA"
"4","3","Orphan","WB","$63,408","-28.1%","30","-1","$2,114","$394,291","3","Unknown"
"5","6","Land of the Lost","UIP","$37,845","-13.6%","15","-","$2,523","$102,195","2","USA"
"6","4","The Taking of Pelham One, Two, Three","Sony","$25,282","-70.7%","22","-3","$1,149","$385,413","3","UK, USA"
"7","5","Up","Disney","$19,328","-71.4%","12","-13","$1,611","$1,490,781","5","USA"
"8","7","Ice Age: Dawn of the Dinosaurs","Fox","$7,555","-23.4%","2","-4","$3,778","$2,144,675","9","Unknown"
"9","11","Public Enemies","UIP","$4,435","+315.7%","2","+1","$2,218","$636,879","6","Unknown"
"10","8","Harry Potter and the Half Blood Prince","WB","$2,927","-58.9%","2","-7","$1,464","$3,587,324","7","Unknown"
"11","10","UIP","$725","-85.0%","1","-5","$725","$4,536,529","10","USA",""
"12","9","Aliens in the Attic","Fox","$142","-97.6%","1","-7","$142","$188,104","4","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","6","The Proposal","Disney","$198,248","+1,083.2%","30","-","$6,608","$265,562","1","USA"
"2","1","G.I. Joe","UIP","$183,047","-54.0%","40","-","$4,576","$1,709,750","3","Unknown"
"3","4","Orphan","WB","$88,125","-1.1%","31","-","$2,843","$284,973","2","Unknown"
"4","2","The Taking of Pelham One, Two, Three","Sony","$86,307","-52.6%","25","-","$3,452","$348,332","2","UK, USA"
"5","3","Up","Disney","$67,475","-54.5%","25","-14","$2,699","$1,454,088","4","USA"
"6","11","Land of the Lost","UIP","$43,795","+1,169.4%","15","-","$2,920","$47,245","1","USA"
"7","10","Ice Age: Dawn of the Dinosaurs","Fox","$9,861","+14.0%","6","+3","$1,644","$2,131,531","8","Unknown"
"8","7","Harry Potter and the Half Blood Prince","WB","$7,128","-55.1%","9","-16","$792","$3,579,804","6","Unknown"
"9","5","Aliens in the Attic","Fox","$5,944","-80.4%","8","-10","$743","$186,795","3","Unknown"
"10","9","UIP","$4,835","-45.3%","6","+3","$806","$4,533,853","9","USA",""
"11","8","Public Enemies","UIP","$1,067","-90.1%","1","-8","$1,067","$631,603","5","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","G.I. Joe","UIP","$398,071","-30.9%","40","-","$9,952","$1,269,900","2","Unknown"
"2","N","The Taking of Pelham One, Two, Three","Sony","$181,990","-","25","-","$7,280","$193,789","1","UK, USA"
"3","2","Up","Disney","$148,250","-40.7%","39","-5","$3,801","$1,288,018","3","USA"
"4","7","Orphan","WB","$89,119","+1,635.2%","31","-","$2,875","$94,255","1","Unknown"
"5","4","Aliens in the Attic","Fox","$30,339","-57.7%","18","-12","$1,686","$162,688","2","Unknown"
"6","-","The Proposal","Disney","$16,755","-","30","-","$559","$16,755","-","USA"
"7","3","Harry Potter and the Half Blood Prince","WB","$15,882","-79.8%","25","-14","$635","$3,556,527","5","Unknown"
"8","5","Public Enemies","UIP","$10,803","-40.8%","9","-1","$1,200","$623,211","4","Unknown"
"9","6","UIP","$8,845","+14.5%","3","-2","$2,948","$4,519,921","8","USA",""
"10","8","Ice Age: Dawn of the Dinosaurs","Fox","$8,652","+134.2%","3","-","$2,884","$2,112,733","7","Unknown"
"11","-","Land of the Lost","UIP","$3,450","-","15","-","$230","$3,450","-","USA"
"12","9","I Love You Beth Cooper","Fox","$10","-99.5%","1","-4","$10","$58,378","3","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","G.I. Joe","UIP","$575,716","-","40","-","$14,393","$575,716","1"
"2","1","Up","Disney","$249,934","-47.9%","44","-","$5,680","$1,050,772","2"
"3","2","Harry Potter and the Half Blood Prince","WB","$78,417","-69.1%","39","-36","$2,011","$3,508,745","4"
"4","N","Aliens in the Attic","Fox","$71,684","-","30","-","$2,389","$106,921","1"
"5","3","Public Enemies","UIP","$18,240","-84.5%","10","-20","$1,824","$601,746","3"
"6","6","UIP","$7,722","-36.4%","5","-8","$1,544","$4,503,909","7",""
"7","-","Orphan","WB","$5,136","-","31","-","$166","$5,136","-"
"8","5","Ice Age: Dawn of the Dinosaurs","Fox","$3,695","-79.0%","3","-8","$1,232","$2,100,002","6"
"9","4","I Love You Beth Cooper","Fox","$2,182","-94.2%","5","-10","$436","$57,217","2"
"10","7","Terminator Salvation: The Future Begins","Sony","$154","-95.4%","1","-1","$154","$1,995,050","11"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","5","Up","Disney","$479,232","+1,785.9%","44","-","$10,892","$612,187","1","USA"
"2","1","Harry Potter and the Half Blood Prince","WB","$253,876","-55.7%","75","-","$3,385","$3,330,467","3","Unknown"
"3","2","Public Enemies","UIP","$117,995","-49.4%","30","-","$3,933","$534,794","2","Unknown"
"4","N","I Love You Beth Cooper","Fox","$37,605","-","15","-","$2,507","$37,605","1","Unknown"
"5","3","Ice Age: Dawn of the Dinosaurs","Fox","$17,571","-80.1%","11","-14","$1,597","$2,089,096","5","Unknown"
"6","4","UIP","$12,149","-75.6%","13","-16","$935","$4,486,779","6","USA",""
"7","8","Terminator Salvation: The Future Begins","Sony","$3,317","+108.2%","2","-1","$1,659","$1,994,378","10","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Harry Potter and the Half Blood Prince","WB","$572,973","-49.8%","75","-","$7,640","$2,736,209","2","Unknown"
"2","4","Public Enemies","UIP","$233,010","+1,231.5%","30","-","$7,767","$308,796","1","Unknown"
"3","2","Ice Age: Dawn of the Dinosaurs","Fox","$88,228","-32.4%","25","-10","$3,529","$1,980,339","4","Unknown"
"4","3","UIP","$49,837","-60.0%","29","-17","$1,719","$4,308,468","5","USA",""
"5","-","Up","Disney","$25,411","-","44","-","$578","$25,411","-","USA"
"6","7","Star Trek","UIP","$3,437","+220.0%","2","+1","$1,719","$736,223","7","USA"
"7","5","Hannah Montana The Movie","Disney","$3,189","-42.5%","6","-","$532","$154,566","3","USA"
"8","6","Terminator Salvation: The Future Begins","Sony","$1,593","+37.5%","3","+1","$531","$1,990,765","9","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Harry Potter and the Half Blood Prince","WB","$1,140,411","-","75","-","$15,205","$1,373,427","1","Unknown"
"2","2","Ice Age: Dawn of the Dinosaurs","Fox","$130,597","-64.1%","35","-13","$3,731","$1,797,276","3","Unknown"
"3","1","UIP","$124,676","-66.9%","46","-29","$2,710","$4,172,548","4","USA",""
"4","-","Public Enemies","UIP","$17,500","-","30","-","$583","$17,500","-","Unknown"
"5","3","Hannah Montana The Movie","Disney","$5,544","-92.5%","6","-19","$924","$149,799","2","USA"
"6","6","Terminator Salvation: The Future Begins","Sony","$1,159","+13.5%","2","-","$580","$1,988,218","8","USA"
"7","5","Star Trek","UIP","$1,074","-53.8%","1","-2","$1,074","$730,796","6","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country"
"1","1","UIP","$376,973","-44.4%","75","-","$5,026","$3,873,274","3","USA"
"2","2","Ice Age: Dawn of the Dinosaurs","Fox","$363,499","-29.0%","48","-","$7,573","$1,503,936","2"
"3","4","Hannah Montana The Movie","Disney","$73,977","+1,041.3%","25","-","$2,959","$118,087","1"
"4","3","Night at the Museum: Battle of the Smithsonian","Fox","$2,849","-81.4%","1","-22","$2,849","$1,882,185","8"
"5","5","Star Trek","UIP","$2,325","-34.0%","3","-1","$775","$729,253","5"
"6","6","Terminator Salvation: The Future Begins","Sony","$1,021","-42.1%","2","-2","$511","$1,986,809","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country"
"1","1","UIP","$677,911","-39.8%","75","-","$9,039","$2,972,340","2","USA"
"2","N","Ice Age: Dawn of the Dinosaurs","Fox","$512,004","-","48","-","$10,667","$687,498","1"
"3","3","Night at the Museum: Battle of the Smithsonian","Fox","$15,297","+130.7%","23","+18","$665","$1,874,189","7"
"4","-","Hannah Montana The Movie","Disney","$6,482","-","25","-","$259","$6,482","-"
"5","2","Star Trek","UIP","$3,525","-78.2%","4","-1","$881","$724,623","4"
"6","4","Terminator Salvation: The Future Begins","Sony","$1,763","-69.7%","4","-5","$441","$1,985,423","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country"
"1","N","UIP","$1,126,281","-","75","-","$15,017","$1,539,197","1","USA"
"2","1","Star Trek","UIP","$16,197","-88.4%","5","-20","$3,239","$713,013","3"
"3","4","Night at the Museum: Battle of the Smithsonian","Fox","$6,632","-67.9%","5","-6","$1,326","$1,851,197","6"
"4","2","Terminator Salvation: The Future Begins","Sony","$5,810","-87.3%","9","-21","$646","$1,981,035","5"
"5","5","Angels & Demons","Sony","$461","-95.3%","2","-6","$231","$1,826,798","7"
"6","3","Underworld: Rise of the Lycans","Sony","$138","-99.4%","2","-3","$69","$645,261","21"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Star Trek","UIP","$140,002","-48.2%","25","-","$5,600","$657,046","2","USA"
"2","2","Terminator Salvation: The Future Begins","Sony","$45,612","-71.5%","30","-40","$1,520","$1,966,112","4","USA"
"3","-","Underworld: Rise of the Lycans","Sony","$24,429","-","5","-","$4,886","$643,195","20","USA"
"4","3","Night at the Museum: Battle of the Smithsonian","Fox","$20,673","-40.2%","11","-4","$1,879","$1,834,328","5","USA"
"5","4","Angels & Demons","Sony","$9,877","-60.1%","8","-23","$1,235","$1,824,764","6","USA"
"6","5","X-Men Origins: Wolverine","Fox","$1,001","-51.9%","2","-3","$501","$1,642,659","8","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","4","Star Trek","UIP","$270,049","+860.5%","25","-","$10,802","$407,435","1","USA"
"2","1","Terminator Salvation: The Future Begins","Sony","$159,809","-67.3%","70","-","$2,283","$1,893,390","3","USA"
"3","2","Night at the Museum: Battle of the Smithsonian","Fox","$34,566","-77.2%","15","-35","$2,304","$1,793,868","4","USA"
"4","3","Angels & Demons","Sony","$24,781","-74.7%","31","-19","$799","$1,810,330","5","USA"
"5","5","X-Men Origins: Wolverine","Fox","$2,080","-75.9%","5","-2","$416","$1,640,777","7","USA"
"6","6","Fast and Furious","UIP","$677","-22.8%","2","-","$339","$2,291,140","11","USA"
"7","7","Dragonball Evolution","Fox","$401","-28.7%","1","-","$401","$1,251,541","12","USA"
