" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"-","20"," Chasseurs de dragons (Dragon Hunters)","$1,402","+84.5%","1","-","$1,402","$129,342","8","France, Germany, Luxem"
"-","14"," Heya fawda","$1,075","-58.3%","1","-","$1,075","$44,606","3","Unknown"
"-","23","Space Chimps","$644","+8.2%","1","-","$644","$176,664","17","USA"
"-","16","Mamma Mia!","$513","-65.8%","1","-","$513","$577,966","20","Germany, UK, USA"
"-","22","Death Race","$368","-40.0%","1","-","$368","$1,088,030","8","USA"
"-","18","Deception (2008)","$230","-80.7%","1","-","$230","$126,695","5","USA"
"-","19"," Hasan we Morqos","$172","-78.6%","1","-","$172","$465,272","8","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Quantum of Solace","$343,035","-65.6%","25","-12","$13,721","$1,555,828","2","UK, USA"
"2","N"," Hero Wanted","$170,614","-","20","-","$8,531","$208,107","1","Unknown"
"3","N"," Open Season 2","$97,724","-","16","-","$6,108","$97,724","1","USA"
"4","N","Mongol","$90,942","-","19","-","$4,786","$90,942","1","Germany, Kazak, Mongolia, Russia"
"5","N","Over Her Dead Body","$53,662","-","14","-","$3,833","$53,662","1","USA"
"6","N","Nights in Rodanthe","$48,729","-","13","-","$3,748","$48,729","1","Australia, USA"
"7","2","Timber Falls","$27,716","-72.9%","17","-1","$1,630","$162,173","2","USA"
"8","3","Bangkok Dangerous (2008)","$26,025","-70.4%","8","-12","$3,253","$626,920","3","USA"
"9","N"," Amaliyat Khassa","$24,516","-","15","-","$1,634","$32,136","1","Unknown"
"10","4","High School Musical 3: Senior Year","$24,291","-64.4%","8","-6","$3,036","$624,054","4","USA"
"11","5","Taken","$15,924","-71.5%","3","-6","$5,308","$317,413","3","France"
"12","7","Eagle Eye","$10,834","-54.1%","3","-6","$3,611","$1,072,617","6","Germany, USA"
"13","8","Redline","$4,711","-78.8%","2","-12","$2,356","$456,737","4","USA"
"14","6"," Heya fawda","$2,578","-90.7%","1","-6","$2,578","$42,741","2","Unknown"
"15","11"," Angus, Thongs and Perfect Snogging","$1,717","-57.5%","2","-","$859","$38,896","3","USA"
"16","16","Mamma Mia!","$1,500","-44.6%","1","-1","$1,500","$577,027","19","Germany, UK, USA"
"17","12","Beverly Hills Chihuahua","$1,450","-62.5%","1","-","$1,450","$256,720","7","Mexico, USA"
"18","15","Deception (2008)","$1,194","-60.2%","1","-1","$1,194","$126,284","4","USA"
"19","20"," Hasan we Morqos","$804","-31.6%","1","-","$804","$464,824","7","Unknown"
"20","13"," Chasseurs de dragons (Dragon Hunters)","$760","-75.6%","1","-1","$760","$127,867","7","France, Germany, Luxem"
"21","9"," Tabbakh El Rayes","$634","-96.6%","1","-10","$634","$243,455","4","Unknown"
"22","22","Death Race","$613","-12.1%","1","-","$613","$1,087,204","7","USA"
"23","17","Space Chimps","$595","-74.3%","1","-","$595","$175,943","16","USA"
"24","24","Kung Fu Panda","$441","+29.7%","1","-","$441","$1,777,729","23","USA"
"25","21","Tropic Thunder","$199","-73.2%","1","-","$199","$970,951","14","Germany, USA"
"26","14"," Tau ming chong (The Warlords)","$178","-94.3%","1","-2","$178","$261,703","5","China, HK"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Quantum of Solace","$997,501","-","37","-","$26,959","$997,501","1","UK, USA"
"2","N","Timber Falls","$102,348","-","18","-","$5,686","$102,348","1","USA"
"3","1","Bangkok Dangerous (2008)","$87,929","-78.0%","20","-","$4,396","$570,090","2","USA"
"4","3","High School Musical 3: Senior Year","$68,271","-54.8%","14","-2","$4,877","$590,105","3","USA"
"5","2","Taken","$55,773","-64.8%","9","-8","$6,197","$276,317","2","France"
"6","N"," Heya fawda","$27,812","-","7","-","$3,973","$27,812","1","Unknown"
"7","5","Eagle Eye","$23,624","-59.8%","9","-1","$2,625","$1,052,760","5","Germany, USA"
"8","4","Redline","$22,189","-69.3%","14","-6","$1,585","$444,279","3","USA"
"9","6"," Tabbakh El Rayes","$18,387","-61.7%","11","-6","$1,672","$237,633","3","Unknown"
"10","-","Burn After Reading","$4,541","-43.7%","1","-2","$4,541","$283,000","5","France, UK, USA"
"11","7"," Angus, Thongs and Perfect Snogging","$4,037","-83.8%","2","-13","$2,019","$36,142","2","USA"
"12","-","Beverly Hills Chihuahua","$3,867","-35.5%","1","-1","$3,867","$254,549","6","Mexico, USA"
"13","-"," Chasseurs de dragons (Dragon Hunters)","$3,109","-46.7%","2","-1","$1,555","$126,888","6","France, Germany, Luxem"
"14","-"," Tau ming chong (The Warlords)","$3,105","-34.5%","3","-2","$1,035","$260,312","4","China, HK"
"15","8","Deception (2008)","$2,997","-83.9%","2","-9","$1,499","$124,216","3","USA"
"16","-","Mamma Mia!","$2,705","-12.4%","2","-","$1,353","$574,962","18","Germany, UK, USA"
"17","-","Space Chimps","$2,315","+24.1%","1","-","$2,315","$157,167","15","USA"
"18","9","Max Payne","$1,889","-87.4%","2","-2","$945","$570,174","4","USA"
"19","N"," Tom & Thomas","$1,868","-","2","-","$934","$1,868","1","Unknown"
"20","-"," Hasan we Morqos","$1,176","-33.0%","1","-","$1,176","$463,645","6","Unknown"
"21","-","Tropic Thunder","$743","-49.7%","1","-","$743","$970,404","13","Germany, USA"
"22","-","Death Race","$697","-61.9%","1","-1","$697","$1,086,401","6","USA"
"23","10","The Escapist","$355","-97.5%","1","-11","$355","$21,484","2","Ireland, UK"
"24","-","Kung Fu Panda","$340","-73.0%","1","-","$340","$1,776,808","22","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Bangkok Dangerous (2008)","$398,972","-","20","-","$19,949","$398,972","1","USA"
"2","N","Taken","$158,580","-","17","-","$9,328","$158,580","1","France"
"3","1","High School Musical 3: Senior Year","$150,983","-51.5%","16","-3","$9,436","$503,568","2","USA"
"4","2","Redline","$72,280","-72.5%","20","+1","$3,614","$401,886","2","USA"
"5","4","Eagle Eye","$58,697","-49.0%","10","-9","$5,870","$1,013,218","4","Germany, USA"
"6","3"," Tabbakh El Rayes","$47,954","-60.6%","17","-1","$2,821","$204,801","2","Unknown"
"7","N"," Angus, Thongs and Perfect Snogging","$24,926","-","15","-","$1,662","$24,926","1","USA"
"8","6","Deception (2008)","$18,563","-73.8%","11","-5","$1,688","$114,480","2","USA"
"9","5","Max Payne","$14,963","-86.3%","4","-15","$3,741","$563,372","3","USA"
"10","N","The Escapist","$14,419","-","12","-","$1,202","$14,419","1","Ireland, UK"
"-","9","Burn After Reading","$8,071","-69.4%","3","-","$2,690","$276,223","4","France, UK, USA"
"-","11","Beverly Hills Chihuahua","$5,995","-53.3%","2","-1","$2,998","$249,696","5","Mexico, USA"
"-","13"," Chasseurs de dragons (Dragon Hunters)","$5,828","+28.5%","3","+1","$1,943","$123,485","5","France, Germany, Luxem"
"-","7"," Tau ming chong (The Warlords)","$4,739","-89.8%","5","-14","$948","$256,040","3","China, HK"
"-","15","Mamma Mia!","$3,089","-9.9%","2","-","$1,545","$571,389","17","Germany, UK, USA"
"-","22","Space Chimps","$1,866","+192.5%","1","-","$1,866","$172,654","14","USA"
"-","10","Death Race","$1,828","-90.5%","2","-5","$914","$1,085,152","5","USA"
"-","14"," Hasan we Morqos","$1,755","-61.0%","1","-1","$1,755","$461,943","5","Unknown"
"-","19","Tropic Thunder","$1,476","+44.9%","1","-","$1,476","$969,184","12","Germany, USA"
"-","24","Kung Fu Panda","$1,257","+120.9%","1","-","$1,257","$1,776,288","21","USA"
"-","8","Disaster Movie","$1,101","-96.6%","2","-15","$551","$177,408","3","USA"
"-","20","88 Minutes","$555","-24.4%","1","-","$555","$398,830","7","Germany, USA"
"-","12"," Boogeyman 2","$392","-94.2%","1","-5","$392","$206,047","4","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","High School Musical 3: Senior Year","$311,268","-","19","-","$16,383","$311,268","1","USA"
"2","N","Redline","$262,558","-","19","-","$13,819","$262,558","1","USA"
"3","N"," Tabbakh El Rayes","$121,681","-","18","-","$6,760","$121,681","1","Unknown"
"4","2","Eagle Eye","$115,053","-44.5%","19","-","$6,055","$923,578","3","Germany, USA"
"5","1","Max Payne","$109,018","-67.4%","19","-","$5,738","$512,230","2","USA"
"6","N","Deception (2008)","$70,866","-","16","-","$4,429","$70,866","1","USA"
"7","3"," Tau ming chong (The Warlords)","$46,635","-69.9%","19","-","$2,454","$238,350","2","China, HK"
"8","4","Disaster Movie","$32,060","-70.7%","17","-2","$1,886","$167,187","2","USA"
"9","6","Burn After Reading","$26,342","-46.7%","3","-4","$8,781","$258,871","3","France, UK, USA"
"10","5","Death Race","$19,260","-68.2%","7","-9","$2,751","$1,076,610","4","USA"
"11","9","Beverly Hills Chihuahua","$12,839","-22.6%","3","-2","$4,280","$241,614","4","Mexico, USA"
"12","7"," Boogeyman 2","$6,769","-81.3%","6","-12","$1,128","$203,089","3","USA"
"13","13"," Chasseurs de dragons (Dragon Hunters)","$4,536","-42.2%","2","-3","$2,268","$117,108","4","France, Germany, Luxem"
"14","8"," Hasan we Morqos","$4,500","-75.0%","2","-5","$2,250","$458,799","4","Unknown"
"15","16","Mamma Mia!","$3,429","-14.2%","2","-","$1,715","$567,085","16","Germany, UK, USA"
"16","14","Star Wars: The Clone Wars","$2,793","-48.0%","2","-","$1,397","$91,838","4","USA"
"17","10","Meet Bill","$2,014","-87.6%","1","-5","$2,014","$23,589","2","USA"
"18","11","Tenacious D in: The Pick of Destiny","$1,644","-86.3%","2","-6","$822","$15,709","2","Germany, USA"
"19","20","Tropic Thunder","$1,019","-45.1%","1","-","$1,019","$967,128","11","Germany, USA"
"20","21","88 Minutes","$734","-56.9%","1","-","$734","$398,008","6","Germany, USA"
"21","17","The House Bunny","$697","-80.9%","1","-1","$697","$78,512","3","USA"
"22","24","Space Chimps","$638","-12.0%","1","-","$638","$170,698","13","USA"
"23","22","Wild Child","$589","-28.0%","1","-","$589","$346,272","9","France, UK, USA"
"24","19","Kung Fu Panda","$569","-72.7%","1","-","$569","$1,774,014","20","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Max Payne","$334,374","-","19","-","$17,599","$334,374","1","USA"
"2","1","Eagle Eye","$207,163","-54.0%","19","-2","$10,903","$756,260","2","Germany, USA"
"3","N"," Tau ming chong (The Warlords)","$155,011","-","19","-","$8,158","$155,011","1","China, HK"
"4","N","Disaster Movie","$109,419","-","19","-","$5,759","$109,419","1","USA"
"5","2","Death Race","$60,512","-61.0%","16","-3","$3,782","$1,035,414","3","USA"
"6","3","Burn After Reading","$49,435","-60.3%","7","-4","$7,062","$212,719","2","France, UK, USA"
"7","4"," Boogeyman 2","$36,127","-68.0%","18","-1","$2,007","$182,948","2","USA"
"8","5"," Hasan we Morqos","$18,015","-73.3%","7","-13","$2,574","$447,586","3","Unknown"
"9","8","Beverly Hills Chihuahua","$16,595","-66.5%","5","-9","$3,319","$226,047","3","Mexico, USA"
"10","N","Meet Bill","$16,230","-","6","-","$2,705","$16,230","1","USA"
"11","N","Tenacious D in: The Pick of Destiny","$11,973","-","8","-","$1,497","$11,973","1","Germany, USA"
"12","N"," Kruistocht in spijkerbroek","$11,258","-","7","-","$1,608","$11,258","1","Belgium, Germany, Luxem, Netherlands"
"13","9"," Chasseurs de dragons (Dragon Hunters)","$7,849","-61.7%","5","-9","$1,570","$111,671","3","France, Germany, Luxem"
"14","10","Star Wars: The Clone Wars","$5,369","-64.0%","2","-7","$2,685","$88,624","3","USA"
