" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"9","6","The Forbidden Kingdom","$25,274","-67.7%","13","-3","$1,944","$1,222,476","4","USA"
"10","8","Indiana Jones and the Kingdom of the Crystal Skull","$17,862","-55.8%","3","-4","$5,954","$1,455,500","5","USA"
"11","7","The Bank Job","$17,327","-72.4%","8","-8","$2,166","$337,135","3","UK"
"12","9","What Happens in Vegas","$9,825","-40.4%","2","-","$4,913","$687,352","6","USA"
"13","10","Iron Man","$4,363","-52.5%","1","-2","$4,363","$1,806,281","8","USA"
"14","12","Baby Mama","$1,459","-61.3%","1","-","$1,459","$87,068","3","USA"
"15","13","Nim's Island","$1,045","-49.4%","1","-1","$1,045","$265,848","6","USA"
"16","16","Dr.  Seuss' Horton Hears a Who!","$747","+32.0%","1","-","$747","$444,220","14","USA"
"17","14","Untraceable","$621","-60.1%","1","-","$621","$351,996","7","USA"
"-","15","Step Up 2 the Streets","$429","-38.2%","1","-","$429","$408,436","8","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Kung Fu Panda","$569,267","-","19","-","$29,961","$569,267","1","USA"
"2","N","The Happening","$238,078","-","19","-","$12,530","$238,078","1","India, USA"
"3","2"," Keda Reda","$178,270","-47.1%","16","-1","$11,142","$657,323","2","Unknown"
"4","N","Never Back Down","$161,073","-","19","-","$8,478","$161,073","1","USA"
"5","1","The Chronicles of Narnia: Prince Caspian","$138,192","-67.1%","20","-9","$6,910","$672,012","2","UK, USA"
"6","3","The Forbidden Kingdom","$78,230","-62.4%","16","-9","$4,889","$1,169,842","3","USA"
"7","4","The Bank Job","$62,655","-64.3%","16","-2","$3,916","$295,104","2","UK"
"8","5","Indiana Jones and the Kingdom of the Crystal Skull","$40,445","-56.1%","7","-8","$5,778","$1,423,521","4","USA"
"9","7","What Happens in Vegas","$16,495","-53.7%","2","-3","$8,248","$670,867","5","USA"
"10","9","Iron Man","$9,181","-67.9%","3","-6","$3,060","$1,798,407","7","USA"
"11","N"," Mafeesh gher keda","$8,740","-","7","-","$1,249","$8,740","1","Egypt"
"12","6","Baby Mama","$3,769","-92.9%","1","-17","$3,769","$84,046","2","USA"
"13","10","Nim's Island","$2,065","-74.5%","2","-1","$1,033","$263,916","5","USA"
"14","14","Untraceable","$1,557","+3.9%","1","-","$1,557","$350,747","6","USA"
"15","16","Step Up 2 the Streets","$694","-28.8%","1","-","$694","$407,536","7","USA"
"16","11","Dr.  Seuss' Horton Hears a Who!","$566","-81.6%","1","-1","$566","$443,154","13","USA"
"17","17","King of California","$402","-54.2%","1","-","$402","$43,850","4","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","The Chronicles of Narnia: Prince Caspian","$420,335","-","29","-","$14,494","$420,335","1","UK, USA"
"2","N"," Keda Reda","$337,097","-","17","-","$19,829","$337,097","1","Unknown"
"3","1","The Forbidden Kingdom","$207,803","-68.5%","25","-1","$8,312","$1,029,415","2","USA"
"4","N","The Bank Job","$175,380","-","18","-","$9,743","$175,390","1","UK"
"5","2","Indiana Jones and the Kingdom of the Crystal Skull","$92,159","-63.9%","15","-17","$6,144","$1,355,701","3","USA"
"6","N","Baby Mama","$52,905","-","18","-","$2,939","$52,905","1","USA"
"7","5","What Happens in Vegas","$35,610","-49.2%","5","-5","$7,122","$638,290","4","USA"
"8","3","Prom Night (2008)","$30,089","-78.7%","11","-6","$2,735","$224,733","2","USA"
"9","4","Iron Man","$28,581","-63.6%","9","-8","$3,176","$1,779,406","6","USA"
"10","6","Nim's Island","$8,097","-70.6%","3","-7","$2,699","$257,462","4","USA"
"11","15","Dr.  Seuss' Horton Hears a Who!","$3,078","+68.4%","2","+1","$1,539","$442,249","12","USA"
"12","12","The Spiderwick Chronicles","$2,233","-24.5%","1","-","$2,233","$371,031","12","USA"
"13","13","Miss Pettigrew Lives for a Day","$1,647","-35.4%","1","-","$1,647","$40,009","3","UK"
"14","10","Untraceable","$1,499","-75.6%","1","-3","$1,499","$348,694","5","USA"
"15","7"," Taymour W Shafika","$1,487","-91.1%","1","-4","$1,487","$117,183","4","Unknown"
"16","17","Step Up 2 the Streets","$975","-3.2%","1","-","$975","$406,349","6","USA"
"17","14","King of California","$877","-53.1%","1","-","$877","$43,075","3","USA"
"18","16","The Night Listener","$619","-41.6%","1","-","$619","$74,140","4","USA"
"19","11"," Morgan Ahmed Morgan","$515","-85.6%","1","-4","$515","$696,949","9","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","The Forbidden Kingdom","$658,625","-","26","-","$25,332","$658,625","1","USA"
"2","1","Indiana Jones and the Kingdom of the Crystal Skull","$255,004","-66.9%","32","-4","$7,969","$1,188,439","2","USA"
"3","N","Prom Night (2008)","$140,982","-","17","-","$8,293","$140,982","1","USA"
"4","3","Iron Man","$78,458","-29.4%","17","-1","$4,615","$1,717,341","5","USA"
"5","2","What Happens in Vegas","$70,065","-41.9%","10","-8","$7,007","$568,788","3","USA"
"6","4","Nim's Island","$27,520","-49.4%","10","-8","$2,752","$239,464","3","USA"
"7","9"," Taymour W Shafika","$16,769","+32.6%","5","+3","$3,354","$107,647","3","Unknown"
"8","N"," Agamista","$15,475","-","18","-","$860","$15,475","1","Egypt"
"9","11","College Road Trip","$6,170","-4.0%","1","-1","$6,170","$378,784","6","USA"
"10","8","Untraceable","$6,141","-62.9%","4","-1","$1,535","$343,460","4","USA"
"11","12"," Morgan Ahmed Morgan","$3,576","-33.2%","5","+1","$715","$694,902","8","Unknown"
"12","20","The Spiderwick Chronicles","$2,958","+50.2%","1","-","$2,958","$368,242","11","USA"
"13","6","Miss Pettigrew Lives for a Day","$2,550","-89.6%","1","-7","$2,550","$37,364","2","UK"
"14","5","King of California","$1,871","-93.5%","1","-13","$1,871","$41,360","2","USA"
"15","19","Dr.  Seuss' Horton Hears a Who!","$1,828","-10.0%","1","-","$1,828","$438,985","11","USA"
"16","14","The Night Listener","$1,059","-70.8%","1","-5","$1,059","$73,083","3","USA"
"17","13","Step Up 2 the Streets","$1,007","-79.7%","1","-4","$1,007","$404,697","5","USA"
"18","21"," Chrysalis","$724","+94.6%","1","-","$724","$12,824","3","France"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Indiana Jones and the Kingdom of the Crystal Skull","$770,610","-","36","-","$21,406","$770,610","1","USA"
"2","1","What Happens in Vegas","$120,502","-50.6%","18","-1","$6,695","$438,770","2","USA"
"3","2","Iron Man","$111,190","-42.0%","18","-3","$6,177","$1,595,940","4","USA"
"4","3","Nim's Island","$54,344","-55.0%","18","-","$3,019","$195,750","2","USA"
"5","N","King of California","$28,757","-","14","-","$2,054","$28,757","1","USA"
"6","N","Miss Pettigrew Lives for a Day","$24,601","-","8","-","$3,075","$24,601","1","UK"
"7","N"," Leabet el hob","$19,024","-","15","-","$1,268","$26,096","1","Egypt"
"8","6","Untraceable","$16,566","-67.7%","5","-11","$3,313","$329,396","3","USA"
"9","5"," Taymour W Shafika","$12,646","-75.9%","2","-6","$6,323","$84,058","2","Unknown"
"10","4"," Outlaw (2007)","$11,250","-86.3%","6","-10","$1,875","$110,574","2","UK"
"11","10","College Road Trip","$6,425","-55.7%","2","-1","$3,213","$369,725","5","USA"
"12","13"," Morgan Ahmed Morgan","$5,350","-45.5%","4","-2","$1,338","$688,963","7","Unknown"
"13","8","Step Up 2 the Streets","$4,964","-80.3%","5","-10","$993","$400,617","4","USA"
"14","7","The Night Listener","$3,620","-92.9%","6","-10","$603","$69,410","2","USA"
"15","15","The Other Boleyn Girl","$3,339","-26.4%","1","-","$3,339","$63,418","3","UK, USA"
"16","11","Made of Honor","$3,132","-69.5%","1","-2","$3,132","$212,788","4","UK, USA"
"17","9","Speed Racer","$2,691","-84.7%","1","-6","$2,691","$140,200","3","USA"
"18","16"," Before the Devil Knows You're Dead","$2,094","-27.5%","1","-","$2,094","$50,225","3","UK, USA"
"19","17","Dr.  Seuss' Horton Hears a Who!","$2,031","-29.2%","1","-","$2,031","$436,484","10","USA"
"20","18","The Spiderwick Chronicles","$1,969","-30.3%","1","-","$1,969","$364,426","10","USA"
"21","14"," Chrysalis","$372","-95.8%","1","-7","$372","$11,994","2","France"
"22","19","Mad Money","$336","-65.9%","1","-","$336","$268,191","6","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","What Happens in Vegas","$243,774","-","19","-","$12,830","$243,774","1","USA"
"2","1","Iron Man","$191,682","-41.3%","21","-2","$9,128","$1,437,230","3","USA"
"3","N","Nim's Island","$120,871","-","18","-","$6,715","$120,871","1","USA"
"4","N"," Outlaw (2007)","$82,335","-","16","-","$5,146","$82,335","1","UK"
"5","N"," Taymour W Shafika","$52,380","-","8","-","$6,548","$52,380","1","Unknown"
"6","2","Untraceable","$51,359","-73.5%","16","-","$3,210","$296,071","2","USA"
"7","N","The Night Listener","$51,159","-","16","-","$3,197","$51,159","1","USA"
"8","4","Step Up 2 the Streets","$25,233","-72.5%","15","-3","$1,682","$388,306","3","USA"
"9","3","Speed Racer","$17,596","-82.3%","7","-12","$2,514","$133,596","2","USA"
"10","10","College Road Trip","$14,488","-47.8%","3","-1","$4,829","$359,579","4","USA"
"11","5","Made of Honor","$10,271","-75.4%","3","-3","$3,424","$205,689","3","UK, USA"
"12","9","21","$9,943","-69.0%","2","-3","$4,972","$477,239","4","USA"
"13","11"," Morgan Ahmed Morgan","$9,822","-37.4%","6","-2","$1,637","$679,669","6","Unknown"
"14","N"," Chrysalis","$8,815","-","8","-","$1,102","$8,815","1","France"
"15","7","The Other Boleyn Girl","$4,537","-87.9%","1","-8","$4,537","$57,442","2","UK, USA"
"16","8"," Before the Devil Knows You're Dead","$2,889","-91.4%","1","-9","$2,889","$47,425","2","UK, USA"
"17","14","Dr.  Seuss' Horton Hears a Who!","$2,868","-22.3%","1","-","$2,868","$433,994","9","USA"
"18","15","The Spiderwick Chronicles","$2,826","-18.2%","1","-","$2,826","$362,043","9","USA"
"19","16","Mad Money","$984","-59.8%","1","-","$984","$267,606","5","USA"
"20","6","Stop-Loss","$904","-97.8%","1","-17","$904","$55,440","2","USA"
"21","18","Rescue Dawn","$656","-54.9%","1","-","$656","$133,770","4","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Iron Man","$326,602","-52.9%","23","-11","$14,200","$1,168,990","2","USA"
"2","N","Untraceable","$193,485","-","16","-","$12,093","$193,485","1","USA"
"3","N","Speed Racer","$99,447","-","19","-","$5,234","$99,447","1","USA"
"4","2","Step Up 2 the Streets","$91,746","-52.1%","18","-","$5,097","$338,043","2","USA"
"5","3","Made of Honor","$41,722","-58.6%","6","-10","$6,954","$178,968","2","UK, USA"
"6","N","Stop-Loss","$41,044","-","18","-","$2,280","$41,044","1","USA"
"7","N","The Other Boleyn Girl","$37,346","-","9","-","$4,150","$37,346","1","UK, USA"
"8","N"," Before the Devil Knows You're Dead","$33,616","-","10","-","$3,362","$33,616","1","UK, USA"
"9","4","21","$32,114","-60.4%","5","-10","$6,423","$453,755","3","USA"
"10","5","College Road Trip","$27,769","-60.4%","4","-12","$6,942","$337,634","3","USA"
"11","6"," Morgan Ahmed Morgan","$15,696","-50.2%","8","-6","$1,962","$664,765","5","Unknown"
"12","N"," Kamel El Awsaf","$10,124","-","9","-","$1,125","$10,124","1","Unknown"
"13","12","The Pirates Who Don't Do Anything","$4,053","-43.4%","2","-","$2,027","$49,886","3","USA"
"14","16","Dr.  Seuss' Horton Hears a Who!","$3,692","+17.6%","1","-1","$3,692","$427,550","8","USA"
"15","14","The Spiderwick Chronicles","$3,454","-7.2%","1","-","$3,454","$356,866","8","USA"
"16","11","Mad Money","$2,445","-69.6%","1","-2","$2,445","$266,054","4","USA"
"17","17","Drillbit Taylor","$1,865","-9.6%","1","-","$1,865","$238,593","5","USA"
"18","9","Rescue Dawn","$1,455","-89.4%","1","-8","$1,455","$132,831","3","USA"
"19","18","Definitely, Maybe","$711","-45.1%","1","-","$711","$192,508","7","France, UK, USA"
"20","20","El Laberinto del Fauno (Pan's Labyrinth)","$204","-48.7%","1","-","$204","$36,162","4","Mexico, Spain, USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Iron Man","$693,087","-","34","-","$20,385","$693,087","1","USA"
"2","N","Step Up 2 the Streets","$191,431","-","18","-","$10,635","$191,431","1","USA"
"3","N","Made of Honor","$100,658","-","16","-","$6,291","$100,658","1","UK, USA"
"4","1","21","$81,165","-66.4%","15","-4","$5,411","$390,949","2","USA"
"5","2","College Road Trip","$70,127","-61.8%","16","-3","$4,383","$294,362","2","USA"
"6","5"," Morgan Ahmed Morgan","$31,507","-44.4%","14","-","$2,251","$638,558","4","Unknown"
"7","4"," The Ferryman","$22,360","-71.7%","11","-2","$2,033","$124,278","2","NZ, UK"
"8","N"," Ana Mesh Maahom","$21,360","-","14","-","$1,526","$21,360","1","Unknown"
"9","3","Rescue Dawn","$13,751","-85.1%","9","-9","$1,528","$127,802","2","USA"
"10","6","Street Kings","$12,033","-72.1%","4","-9","$3,008","$322,078","3","USA"
"11","7","Mad Money","$8,036","-79.2%","3","-10","$2,679","$261,390","3","USA"
"12","8","The Pirates Who Don't Do Anything","$7,162","-77.7%","2","-15","$3,581","$45,325","2","USA"
"13","N"," St. Trinian's","$5,838","-","5","-","$1,168","$5,838","1","UK"
"14","14","The Spiderwick Chronicles","$3,721","-35.1%","1","-1","$3,721","$352,691","7","USA"
"15","11","Fool's Gold","$3,482","-57.9%","2","-","$1,741","$448,458","5","USA"
"16","12","Dr.  Seuss' Horton Hears a Who!","$3,139","-61.5%","2","-2","$1,570","$422,891","7","USA"
"17","13","Drillbit Taylor","$2,062","-71.5%","1","-2","$2,062","$236,331","4","USA"
"18","16","Definitely, Maybe","$1,296","-44.9%","1","-","$1,296","$191,335","6","France, UK, USA"
"19","15","10,000 B.C.","$745","-80.4%","1","-1","$745","$1,355,277","8","NZ, USA"
"20","20","El Laberinto del Fauno (Pan's Labyrinth)","$398","-51.3%","1","-1","$398","$35,778","3","Mexico, Spain, USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","21","$241,762","-","19","-","$12,724","$241,762","1","USA"
"2","N","College Road Trip","$183,700","-","19","-","$9,668","$183,700","1","USA"
"3","N","Rescue Dawn","$92,031","-","18","-","$5,113","$92,031","1","USA"
"4","N"," The Ferryman","$78,938","-","13","-","$6,072","$78,938","1","NZ, UK"
"5","3"," Morgan Ahmed Morgan","$56,642","-56.0%","14","-2","$4,046","$590,338","3","Unknown"
"6","1","Street Kings","$43,149","-78.5%","13","-6","$3,319","$295,438","2","USA"
"7","2","Mad Money","$38,598","-76.7%","13","-5","$2,969","$241,535","2","USA"
"8","N","The Pirates Who Don't Do Anything","$32,085","-","17","-","$1,887","$32,085","1","USA"
"9","4","Rogue","$20,866","-82.7%","14","-5","$1,490","$173,028","2","Australia, USA"
"10","N"," 45 Days","$13,560","-","13","-","$1,043","$13,560","1","Unknown"
"11","9","Fool's Gold","$8,267","-66.5%","2","-4","$4,134","$442,228","4","USA"
"12","10","Dr.  Seuss' Horton Hears a Who!","$8,162","-56.3%","4","-2","$2,041","$418,369","6","USA"
"13","6","Drillbit Taylor","$7,223","-80.7%","3","-11","$2,408","$232,610","3","USA"
"14","15","The Spiderwick Chronicles","$5,734","-32.5%","2","-3","$2,867","$347,681","6","USA"
"15","13","10,000 B.C.","$3,795","-64.6%","2","-","$1,898","$1,353,097","7","NZ, USA"
"16","16","Definitely, Maybe","$2,352","-30.7%","1","-1","$2,352","$189,091","5","France, UK, USA"
"17","5","Leatherheads","$2,004","-95.3%","2","-13","$1,002","$58,004","2","USA"
"18","7","Shrooms","$1,497","-95.9%","3","-10","$499","$183,239","3","Ireland"
"19","12"," Butterfly on a Wheel","$863","-92.1%","1","-4","$863","$95,110","3","Canada, UK"
"20","8","El Laberinto del Fauno (Pan's Labyrinth)","$817","-96.8%","2","-10","$409","$34,749","2","Mexico, Spain, USA"
"21","14","First Sunday","$147","-98.5%","1","-5","$147","$101,397","3","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Street Kings","$201,100","-","19","-","$10,584","$201,100","1","USA"
"2","N","Mad Money","$165,569","-","18","-","$9,198","$165,569","1","USA"
"3","1"," Morgan Ahmed Morgan","$128,679","-54.9%","16","-3","$8,042","$497,380","2","Unknown"
"4","N","Rogue","$120,613","-","19","-","$6,348","$120,613","1","Australia, USA"
"5","N","Leatherheads","$42,622","-","15","-","$2,841","$42,622","1","USA"
"6","2","Drillbit Taylor","$37,357","-73.4%","14","-4","$2,668","$216,282","2","USA"
"7","3","Shrooms","$36,229","-64.9%","13","+1","$2,787","$170,181","2","Ireland"
"8","N","El Laberinto del Fauno (Pan's Labyrinth)","$25,571","-","12","-","$2,131","$25,571","1","Mexico, Spain, USA"
"9","4","Fool's Gold","$24,653","-71.0%","6","-12","$4,109","$426,695","3","USA"
"10","8","Dr.  Seuss' Horton Hears a Who!","$18,669","-48.9%","6","-4","$3,112","$406,983","5","USA"
"11","N"," Fi Shakat Misr Al Jadidah","$12,481","-","5","-","$2,496","$12,481","1","Unknown"
"12","6"," Butterfly on a Wheel","$10,981","-81.0%","5","-","$2,196","$90,835","2","Canada, UK"
"13","10","10,000 B.C.","$10,724","-59.0%","2","-1","$5,362","$1,346,159","6","NZ, USA"
"14","5","First Sunday","$9,962","-85.7%","6","-6","$1,660","$98,153","2","USA"
"15","12","The Spiderwick Chronicles","$8,490","-58.6%","5","-3","$1,698","$340,786","5","USA"
"16","13","Definitely, Maybe","$3,396","-68.4%","2","-","$1,698","$185,332","4","France, UK, USA"
"17","19","Bee Movie","$1,201","+2.0%","1","-","$1,201","$821,208","19","USA"
"18","15","The Death and Life of Bobby Z","$1,043","-71.3%","1","-1","$1,043","$200,026","4","Germany, USA"
"19","9"," Zerkalnie voyni: Otrazhenie pervoye (Mirror Wars: Reflection One)","$663","-97.6%","4","-6","$166","$36,418","2","USA"
"20","21","27 Dresses","$501","-26.0%","1","-","$501","$427,240","10","USA"
"21","17","The Eye","$433","-78.3%","1","-","$433","$333,759","5","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N"," Morgan Ahmed Morgan","$285,302","-","19","-","$15,016","$285,302","1","Unknown"
"2","N","Drillbit Taylor","$140,293","-","18","-","$7,794","$140,293","1","USA"
"3","N","Shrooms","$103,254","-","12","-","$8,605","$103,254","1","Ireland"
"4","1","Fool's Gold","$84,895","-62.6%","18","-","$4,716","$371,799","2","USA"
"5","N","First Sunday","$69,814","-","12","-","$5,818","$69,814","1","USA"
"6","N"," Butterfly on a Wheel","$57,877","-","5","-","$11,575","$57,877","1","Canada, UK"
"7","2","P2","$36,790","-71.9%","17","-2","$2,164","$203,441","2","USA"
"8","6","Dr.  Seuss' Horton Hears a Who!","$36,509","-9.6%","10","-2","$3,651","$376,861","4","USA"
"9","N"," Zerkalnie voyni: Otrazhenie pervoye (Mirror Wars: Reflection One)","$27,507","-","10","-","$2,751","$27,507","1","USA"
"10","5","10,000 B.C.","$26,176","-38.4%","3","-2","$8,725","$1,323,176","5","NZ, USA"
"11","3","How She Move","$22,660","-71.6%","12","-3","$1,888","$125,898","2","Canada"
"12","11","The Spiderwick Chronicles","$20,492","-30.0%","8","-5","$2,562","$326,299","4","USA"
"13","9","Definitely, Maybe","$10,734","-69.1%","2","-6","$5,367","$176,605","3","France, UK, USA"
"14","12","The Bucket List","$8,764","-70.0%","2","-4","$4,382","$155,576","3","USA"
"15","8","The Death and Life of Bobby Z","$3,637","-89.8%","2","-14","$1,819","$197,328","3","Germany, USA"
"16","4","Doomsday","$2,578","-96.1%","3","-16","$859","$332,307","3","S Afr, UK, USA"
"17","15","The Eye","$1,998","-58.3%","1","-1","$1,998","$332,551","4","USA"
"18","7","Shutter","$1,552","-95.9%","1","-10","$1,552","$212,324","3","USA"
"19","-","Bee Movie","$1,177","-","1","-","$1,177","$819,296","18","USA"
"20","-","The Kite Runner","$1,020","-","1","-","$1,020","$87,683","9","USA"
"21","18","27 Dresses","$677","-27.9%","1","-","$677","$426,208","9","USA"
"22","17","Juno","$675","-43.6%","1","-","$675","$170,120","5","USA"
"23","19","In the Name of the King: A Dungeon Siege Tale","$393","-53.7%","1","-","$393","$665,924","8","Canada, Germany, USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Fool's Gold","$227,173","-","18","-","$12,621","$227,173","1","USA"
"2","N","P2","$130,938","-","19","-","$6,891","$130,938","1","USA"
"3","N","How She Move","$79,845","-","15","-","$5,323","$79,845","1","Canada"
"4","1","Doomsday","$66,764","-65.4%","19","-2","$3,514","$307,529","2","S Afr, UK, USA"
"5","4","10,000 B.C.","$42,489","-55.1%","5","-10","$8,498","$1,281,945","4","NZ, USA"
"6","7","Dr.  Seuss' Horton Hears a Who!","$40,387","-43.2%","12","-5","$3,366","$323,238","3","USA"
"7","2","Shutter","$38,096","-68.4%","11","-8","$3,463","$197,124","2","USA"
"8","3","The Death and Life of Bobby Z","$35,564","-68.4%","16","-3","$2,223","$182,410","2","Germany, USA"
"9","5","Definitely, Maybe","$34,771","-60.9%","8","-7","$4,346","$153,039","2","France, UK, USA"
"10","N"," 1/8 Dastet Ashrar","$33,955","-","16","-","$2,122","$33,955","1","Unknown"
"11","8","The Spiderwick Chronicles","$29,273","-45.1%","13","-4","$2,252","$296,855","3","USA"
"12","6","The Bucket List","$29,173","-63.8%","6","-7","$4,862","$136,474","2","USA"
"13","N","Reservation Road","$20,296","-","8","-","$2,537","$20,296","1","Germany, USA"
"14","N","Resurrecting the Champ","$13,953","-","12","-","$1,163","$13,953","1","USA"
"15","9","The Eye","$4,788","-88.2%","2","-13","$2,394","$329,380","3","USA"
"16","11"," Karkar - Mohammed Saad","$1,341","-94.2%","2","-8","$671","$458,947","4","Unknown"
"17","13","Juno","$1,197","-76.5%","1","-4","$1,197","$168,922","4","USA"
"18","15","27 Dresses","$939","-45.3%","1","-","$939","$424,881","8","USA"
"19","16","In the Name of the King: A Dungeon Siege Tale","$849","-41.9%","1","-","$849","$665,231","7","Canada, Germany, USA"
"20","14","Welcome Home Roscoe Jenkins","$715","-84.5%","1","-1","$715","$529,819","6","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Doomsday","$192,671","-","21","-","$9,175","$192,674","1","S Afr, UK, USA"
"2","N","Shutter","$120,684","-","19","-","$6,352","$120,684","1","USA"
"3","N","The Death and Life of Bobby Z","$112,352","-","19","-","$5,913","$112,352","1","Germany, USA"
"4","1","10,000 B.C.","$94,638","-63.3%","15","-6","$6,309","$1,208,184","3","NZ, USA"
"5","N","Definitely, Maybe","$88,926","-","15","-","$5,928","$88,926","1","France, UK, USA"
"6","N","The Bucket List","$80,608","-","13","-","$6,201","$80,608","1","USA"
"7","4","Dr.  Seuss' Horton Hears a Who!","$71,069","-51.9%","17","-2","$4,181","$260,611","2","USA"
"8","3","The Spiderwick Chronicles","$53,331","-67.2%","17","-2","$3,137","$252,534","2","USA"
"9","2","The Eye","$40,568","-81.8%","15","-4","$2,705","$312,485","2","USA"
"10","N"," Shabah","$30,687","-","13","-","$2,361","$30,687","1","Unknown"
"11","5"," Karkar - Mohammed Saad","$23,045","-75.2%","10","-7","$2,305","$451,914","3","Unknown"
"12","8","Vantage Point","$7,502","-78.3%","2","-3","$3,751","$503,750","5","USA"
"13","6","Juno","$5,084","-87.9%","5","-7","$1,017","$165,682","3","USA"
"14","10","Welcome Home Roscoe Jenkins","$4,626","-81.3%","2","-5","$2,313","$528,077","5","USA"
"15","11","27 Dresses","$1,718","-75.9%","1","-1","$1,718","$423,377","7","USA"
"16","14","In the Name of the King: A Dungeon Siege Tale","$1,461","-56.1%","1","-1","$1,461","$663,997","6","Canada, Germany, USA"
"17","18","The Kite Runner","$1,220","-34.9%","1","-","$1,220","$85,174","7","USA"
"18","13","The Hunting Party","$792","-80.7%","1","-1","$792","$209,404","4","Bosnia, Croatia, USA"
"19","17","No Country for Old Men","$613","-69.8%","1","-","$613","$210,892","9","USA"
"20","21","Bee Movie","$417","-57.1%","1","-","$417","$816,841","16","USA"
"21","15","Margot at the Wedding","$261","-89.9%","1","-","$261","$27,348","3","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","10,000 B.C.","$258,033","-57.9%","21","-2","$12,287","$1,053,198","2","NZ, USA"
"2","N","The Eye","$222,285","-","19","-","$11,699","$222,285","1","USA"
"3","N","The Spiderwick Chronicles","$162,816","-","19","-","$8,569","$162,816","1","USA"
"4","N","Dr.  Seuss' Horton Hears a Who!","$147,839","-","19","-","$7,781","$147,839","1","USA"
"5","2"," Karkar - Mohammed Saad","$93,071","-60.7%","17","-1","$5,475","$405,985","2","Unknown"
"6","3","Juno","$42,052","-42.1%","12","-4","$3,504","$146,628","2","USA"
"7","N"," Boot Camp","$36,595","-","9","-","$4,066","$36,595","1","USA"
"8","5","Vantage Point","$34,641","-16.9%","5","-7","$6,928","$485,247","4","USA"
"9","N"," Sabaho Kedb","$33,764","-","14","-","$2,412","$33,764","1","Unknown"
"10","4","Welcome Home Roscoe Jenkins","$24,686","-43.8%","7","-8","$3,527","$515,977","4","USA"
"11","11","27 Dresses","$7,136","+4.6%","2","-","$3,568","$418,735","6","USA"
"12","10","Jumper","$5,656","-59.0%","1","-2","$5,656","$686,822","6","USA"
"13","6","The Hunting Party","$4,112","-83.9%","2","-13","$2,056","$207,527","3","Bosnia, Croatia, USA"
"14","9","In the Name of the King: A Dungeon Siege Tale","$3,325","-77.2%","2","-12","$1,663","$661,454","5","Canada, Germany, USA"
"15","8","Margot at the Wedding","$2,594","-84.1%","1","-13","$2,594","$26,532","2","USA"
"16","7"," Like Minds","$2,417","-90.4%","3","-6","$806","$40,510","2","Australia, UK"
"17","22","No Country for Old Men","$2,029","+46.7%","1","-","$2,029","$209,807","8","USA"
"18","21","The Kite Runner","$1,873","+17.0%","1","-","$1,873","$83,336","6","USA"
"19","15","Into the Wild","$1,125","-69.0%","1","-1","$1,125","$70,109","3","USA"
"20","23","Rambo","$1,048","-19.1%","1","-","$1,048","$1,092,376","9","Germany, USA"
"21","20","Bee Movie","$972","-58.8%","1","-","$972","$815,754","15","USA"
"22","18","Feast of Love","$941","-61.5%","1","-1","$941","$49,093","3","USA"
"23","17","Enchanted","$508","-79.4%","1","-","$508","$606,766","9","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","10,000 B.C.","$613,553","-","23","-","$26,676","$613,553","1","NZ, USA"
"2","N"," Karkar - Mohammed Saad","$236,771","-","18","-","$13,154","$236,771","1","Unknown"
"3","N","Juno","$72,641","-","16","-","$4,540","$72,641","1","USA"
