" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"13","9","J.C.V.D.","Gulf","$6,466","-33.0%","6","+1","$1,078","$24,349","2"
"14","12","Michael Jackson's This Is It","Sony","$5,689","-28.1%","1","-4","$5,689","$437,234","5"
"15","8"," The Rebound","Gulf","$5,491","-59.1%","2","-7","$2,746","$261,008","4"
"16","11","Case 39","UIP","$3,347","-63.2%","1","-6","$3,347","$280,239","4"
"17","15","Beyond a Reasonable Doubt","Italian","$2,189","-57.4%","1","-4","$2,189","$48,653","3"
"18","18","Harry Potter and the Half Blood Prince","WB","$1,974","+55.0%","1","-","$1,974","$1,507,303","20"
"19","14","Gake no ue no Ponyo (Ponyo on a Cliff)","n/a","$1,583","-71.1%","1","-1","$1,583","$81,090","5"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","2012","Sony","$683,327","-39.2%","36","-3","$18,981","$2,144,249","2"
"2","N"," San suk si gin (Shinjuku Incident)","Gulf","$133,890","-","19","-","$7,047","$168,050","1"
"3","N","The Invention of Lying","UIP","$80,995","-","18","-","$4,500","$113,632","1"
"4","2"," Bobos","Gulf","$75,787","-42.1%","20","-","$3,789","$284,477","2"
"5","N","The Box","Italian","$68,212","-","12","-","$5,684","$94,076","1"
"6","3"," The Tournament","Gulf","$52,964","-54.3%","22","-1","$2,407","$227,717","2"
"7","6","Couples Retreat","UIP","$14,181","-59.0%","5","-6","$2,836","$430,523","4"
"8","4"," The Rebound","Gulf","$13,436","-67.3%","9","-7","$1,493","$250,918","3"
"9","N","J.C.V.D.","Gulf","$9,654","-","5","-","$1,931","$13,748","1"
"10","9"," Toy Story in 3D","Disney","$9,387","-27.4%","3","-1","$3,129","$109,560","4"
"11","5","Case 39","UIP","$9,085","-77.2%","7","-14","$1,298","$275,284","3"
"12","7","Michael Jackson's This Is It","Sony","$7,908","-75.7%","5","-6","$1,582","$426,337","4"
"13","12"," Cloudy with a Chance of Meatballs","Sony","$5,599","-27.2%","3","-","$1,866","$584,944","10"
"14","11","Gake no ue no Ponyo (Ponyo on a Cliff)","n/a","$5,480","-53.6%","2","-3","$2,740","$76,624","4"
"15","8","Beyond a Reasonable Doubt","Italian","$5,132","-82.1%","5","-4","$1,026","$44,757","2"
"16","10","WB","$2,302","-81.6%","2","-3","$1,151","$77,207","3",""
"17","14","A Perfect Getaway","n/a","$1,379","-58.2%","1","-1","$1,379","$284,551","5"
"18","17","Harry Potter and the Half Blood Prince","WB","$1,274","-21.1%","1","-","$1,274","$1,503,737","19"
"19","15","Inglourious Basterds","UIP","$672","-61.3%","1","-","$672","$584,925","9"
"20","20","The Time Traveler's Wife","Gulf","$261","-60.0%","1","-","$261","$228,344","7"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","2012","Sony","$1,123,640","-","39","-","$28,811","$1,123,640","1"
"2","N"," Bobos","Gulf","$130,992","-","20","-","$6,550","$177,855","1"
"3","N"," The Tournament","Gulf","$115,917","-","23","-","$5,040","$152,656","1"
"4","2"," The Rebound","Gulf","$41,124","-69.1%","16","-3","$2,570","$230,337","2"
"5","1","Case 39","UIP","$39,832","-75.3%","21","-","$1,897","$261,524","2"
"6","4","Couples Retreat","UIP","$34,572","-60.5%","11","-8","$3,143","$408,518","3"
"7","3","Michael Jackson's This Is It","Sony","$32,512","-67.7%","11","-7","$2,956","$404,376","3"
"8","N","Beyond a Reasonable Doubt","Italian","$28,649","-","9","-","$3,183","$36,851","1"
"9","7"," Toy Story in 3D","Disney","$12,935","-65.0%","4","+1","$3,234","$94,391","3"
"10","6","WB","$12,525","-71.2%","5","-6","$2,505","$73,783","2",""
"11","10","Gake no ue no Ponyo (Ponyo on a Cliff)","n/a","$11,812","-22.2%","5","-4","$2,362","$71,128","3"
