" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"2","N","Bee Movie","$250,211","-","20","-","$12,511","$250,211","1","USA"
"3","N","Michael Clayton","$73,120","-","19","-","$3,848","$73,120","1","USA"
"4","N","Blind Dating","$51,543","-","10","-","$5,154","$51,543","1","USA"
"5","2","The Invisible","$43,129","-61.5%","18","+3","$2,396","$183,216","2","Unknown"
"6","N","The Nanny Diaries","$37,145","-","9","-","$4,127","$37,145","1","USA"
"7","1","Elizabeth: The Golden Age","$31,478","-75.3%","16","-1","$1,967","$188,435","2","France, Germany, UK"
"8","5","The Game Plan","$30,816","-47.3%","9","-3","$3,424","$335,654","3","USA"
"9","3","American Gangster","$21,452","-75.0%","7","-11","$3,065","$482,794","3","USA"
"10","-","Beowulf","$16,418","-56.6%","2","-4","$8,209","$577,152","4","USA"
"11","4","Eastern Promises","$5,295","-92.3%","4","-13","$1,324","$93,307","2","Canada, UK, USA"
"12","-","Delta Farce","$2,479","-79.3%","1","-6","$2,479","$87,173","3","USA"
"13","-","In the Land of Women","$2,119","-92.9%","1","-10","$2,119","$41,270","2","USA"
"14","-","The Kingdom","$1,565","-22.5%","1","-","$1,565","$1,178,730","10","Germany, USA"
"15","-","The Heartbreak Kid","$1,295","-86.1%","1","-1","$1,295","$362,078","5","Unknown"
"16","-","The Last Mimzy","$1,201","-93.7%","1","-3","$1,201","$23,432","2","USA"
"17","-","Saw IV","$1,190","-73.9%","1","-1","$1,190","$439,205","5","USA"
"18","-"," Khiana mashroaa","$1,104","-33.5%","1","-","$1,104","$129,319","4","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Elizabeth: The Golden Age","$127,265","-","17","-","$7,486","$127,265","1","France, Germany, UK"
"2","N","The Invisible","$112,069","-","15","-","$7,471","$112,069","1","Unknown"
"3","1","American Gangster","$85,698","-69.6%","18","-5","$4,761","$433,653","2","USA"
"4","N","Eastern Promises","$68,387","-","17","-","$4,023","$68,387","1","Canada, UK, USA"
"5","2","The Game Plan","$58,491","-69.9%","12","-6","$4,874","$291,466","2","USA"
"-","3","Beowulf","$37,822","-71.8%","6","-10","$6,304","$549,102","3","USA"
"-","N","In the Land of Women","$29,873","-","11","-","$2,716","$29,873","1","USA"
"-","N","The Last Mimzy","$19,088","-","4","-","$4,772","$19,088","1","USA"
"-","4","Delta Farce","$11,998","-77.8%","7","-8","$1,714","$82,014","2","USA"
"-","9","The Heartbreak Kid","$9,295","-57.7%","2","-3","$4,648","$359,453","4","Unknown"
"-","8","Saw IV","$4,557","-83.3%","2","-11","$2,279","$436,490","4","USA"
"-","11","The Kingdom","$2,020","-40.5%","1","-","$2,020","$1,176,376","9","Germany, USA"
"-","6","Home of the Brave","$1,840","-94.5%","2","-14","$920","$157,944","3","USA"
"-","7"," Khiana mashroaa","$1,661","-94.8%","1","-10","$1,661","$127,660","3","Unknown"
"-","12","Ratatouille","$1,302","-53.0%","1","-","$1,302","$635,810","17","USA"
"-","16","Sukkar banat (Caramel)","$460","-71.8%","1","-","$460","$125,266","7","France, Lebanon"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","American Gangster","$281,922","-","23","-","$12,257","$281,922","1","USA"
"2","N","The Game Plan","$194,132","-","18","-","$10,785","$194,132","1","USA"
"3","1","Beowulf","$134,298","-51.0%","16","-2","$8,394","$475,756","2","USA"
"4","N","Delta Farce","$54,025","-","15","-","$3,602","$54,024","1","USA"
"5","2","Halloween (2007)","$43,783","-51.2%","16","-3","$2,736","$160,982","2","USA"
"6","3","Home of the Brave","$33,148","-62.4%","16","-","$2,072","$145,636","2","USA"
"7","6"," Khiana mashroaa","$31,845","-48.6%","11","-3","$2,895","$114,640","2","Unknown"
"8","5","Saw IV","$27,357","-60.1%","13","-6","$2,104","$423,341","3","USA"
"9","4","The Heartbreak Kid","$21,997","-69.0%","5","-11","$4,399","$342,705","3","Unknown"
"10","7","Underdog","$16,648","-58.5%","4","-6","$4,162","$130,646","3","USA"
"11","9","The Kingdom","$3,395","-71.8%","1","-4","$3,395","$1,173,374","8","Germany, USA"
"12","15","Ratatouille","$2,768","+39.5%","1","-","$2,768","$633,747","16","USA"
"13","8","Saawariya","$2,038","-83.5%","2","-8","$1,019","$429,746","4","Unknown"
"14","11","Lions for Lambs","$1,718","-81.1%","1","-2","$1,718","$195,430","4","USA"
"15","10","Amazing Grace","$1,654","-85.8%","1","-8","$1,654","$18,251","2","UK, USA"
"16","18","Sukkar banat (Caramel)","$1,631","+6.5%","1","-","$1,631","$124,035","6","France, Lebanon"
"17","14","A Mighty Heart","$1,475","-39.5%","1","-","$1,475","$105,946","5","Unknown"
"18","17","3:10 to Yuma (2007)","$1,369","-17.9%","1","-1","$1,369","$241,878","6","USA"
"19","19","Knocked Up","$605","-52.3%","1","-","$605","$167,452","7","Unknown"
"20","20","The Lookout","$403","-44.8%","1","-","$403","$105,746","5","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Beowulf","$274,145","-","18","-","$15,230","$274,145","1","USA"
"2","N","Halloween (2007)","$89,780","-","19","-","$4,725","$89,780","1","USA"
"3","N","Home of the Brave","$88,085","-","16","-","$5,505","$88,085","1","USA"
"4","2","The Heartbreak Kid","$70,987","-59.4%","16","-3","$4,437","$297,190","2","Unknown"
"5","1","Saw IV","$68,535","-72.8%","19","-","$3,607","$374,794","2","USA"
"6","N"," Khiana mashroaa","$61,997","-","14","-","$4,428","$61,997","1","Unknown"
"7","4","Underdog","$40,084","-33.9%","10","+2","$4,008","$108,545","2","USA"
"8","3","Saawariya","$12,351","-83.6%","10","-16","$1,235","$424,652","3","Unknown"
"9","7","The Kingdom","$12,050","-40.9%","5","-","$2,410","$1,164,934","7","Germany, USA"
"10","N","Amazing Grace","$11,627","-","9","-","$1,292","$11,627","1","UK, USA"
"11","6","Lions for Lambs","$9,104","-73.0%","3","-9","$3,035","$190,707","3","USA"
"12","5","We Own the Night","$7,519","-85.2%","4","-13","$1,880","$275,097","3","USA"
"13","10","Balls of Fury","$4,091","-57.7%","1","-1","$4,091","$151,778","4","USA"
"14","16","A Mighty Heart","$2,436","-33.5%","1","-2","$2,436","$103,739","4","Unknown"
"15","18","Ratatouille","$1,985","-29.6%","1","-","$1,985","$630,717","15","USA"
"16","12","The Brave One","$1,773","-72.9%","1","-1","$1,773","$249,776","4","Australia, USA"
"17","13","3:10 to Yuma (2007)","$1,667","-74.5%","2","-5","$834","$239,697","5","USA"
"18","15","Sukkar banat (Caramel)","$1,532","-67.4%","1","-1","$1,532","$122,004","5","France, Lebanon"
"19","23","Knocked Up","$1,269","+4.6%","1","-","$1,269","$166,403","6","Unknown"
"20","14","The Lookout","$730","-85.2%","1","-6","$730","$105,101","4","Unknown"
"21","25","Rush Hour 3","$686","-37.6%","1","-","$686","$1,534,375","14","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Saw IV","$252,330","-","19","-","$13,281","$252,330","1","USA"
"2","N","The Heartbreak Kid","$174,943","-","19","-","$9,208","$174,943","1","Unknown"
"3","1","Saawariya","$75,456","-73.4%","26","-","$2,902","$397,496","2","Unknown"
"4","N","Underdog","$60,618","-","8","-","$7,577","$60,618","1","USA"
"5","2","We Own the Night","$50,829","-68.3%","17","-2","$2,990","$250,615","2","USA"
"6","3","Lions for Lambs","$33,677","-69.5%","12","-7","$2,806","$171,584","2","USA"
"7","6","The Kingdom","$20,402","-27.3%","5","-1","$4,080","$1,144,128","6","Germany, USA"
"8","N"," A Guide to Recognizing Your Saints","$10,834","-","8","-","$1,354","$10,834","1","USA"
"9","N","American Gun","$10,040","-","5","-","$2,008","$10,040","1","Unknown"
"10","5","Balls of Fury","$9,680","-71.5%","2","-7","$4,840","$145,669","3","USA"
"11","N"," Min Nazrati Ainen","$7,817","-","5","-","$1,563","$7,817","1","Unknown"
"12","4","The Brave One","$6,535","-83.5%","2","-16","$3,268","$245,831","3","Australia, USA"
"13","11","3:10 to Yuma (2007)","$6,528","-30.7%","7","+3","$933","$236,110","4","USA"
"14","8","The Lookout","$4,929","-73.4%","7","-10","$704","$103,238","3","Unknown"
"15","12","Sukkar banat (Caramel)","$4,705","-48.7%","2","-1","$2,353","$118,271","4","France, Lebanon"
"16","10","A Mighty Heart","$3,664","-73.6%","3","-4","$1,221","$99,994","3","Unknown"
"17","16","Harry Potter and the Order of the Phoenix","$3,404","-4.6%","1","-","$3,404","$1,588,423","18","Unknown"
"18","20","Ratatouille","$2,820","+10.6%","1","-","$2,820","$628,519","14","USA"
"19","7"," .45","$2,612","-88.5%","5","-4","$522","$33,288","2","USA"
"20","19","Skinwalkers","$1,784","-33.1%","2","-","$892","$170,134","4","Germany, USA"
"21","18","Atonement","$1,778","-40.6%","1","-","$1,778","$64,211","4","France, UK"
"22","13"," Omar Wa Salma","$1,767","-79.0%","2","-3","$884","$660,707","6","Unknown"
"23","21","Knocked Up","$1,213","-47.2%","1","-","$1,213","$164,708","5","Unknown"
"24","17","Daddy Day Camp","$1,145","-63.9%","1","-","$1,145","$312,462","6","Unknown"
"25","23","Rush Hour 3","$1,100","+33.3%","1","-","$1,100","$1,533,558","13","Unknown"
"26","15","The Astronaut Farmer","$564","-84.5%","1","-4","$564","$21,301","3","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Saawariya","$283,670","-","26","-","$10,910","$283,670","1","Unknown"
"2","N","We Own the Night","$160,493","-","19","-","$8,447","$160,493","1","USA"
"3","N","Lions for Lambs","$110,382","-","19","-","$5,810","$110,382","1","USA"
"4","1","The Brave One","$39,620","-73.1%","18","-1","$2,201","$225,625","2","Australia, USA"
"5","2","Balls of Fury","$34,011","-57.0%","9","-3","$3,779","$129,555","2","USA"
"6","5","The Kingdom","$28,050","-40.1%","6","-3","$4,675","$1,112,424","5","Germany, USA"
"7","N"," .45","$22,616","-","9","-","$2,513","$22,616","1","USA"
"8","3","The Lookout","$18,539","-69.5%","17","-","$1,091","$93,604","2","Unknown"
"9","N","Death at a Funeral","$16,063","-","7","-","$2,295","$16,063","1","Germany, Netherlands, UK, USA"
"10","4","A Mighty Heart","$13,889","-76.6%","7","-11","$1,984","$91,346","2","Unknown"
"11","6","3:10 to Yuma (2007)","$9,416","-78.6%","4","-12","$2,354","$226,939","3","USA"
"12","10","Sukkar banat (Caramel)","$9,170","-51.8%","3","-1","$3,057","$109,400","3","France, Lebanon"
"13","9"," Omar Wa Salma","$8,396","-70.7%","5","-4","$1,679","$655,561","5","Unknown"
"14","7","Shoot 'Em Up","$6,968","-78.4%","2","-2","$3,484","$130,024","3","USA"
"15","12","The Astronaut Farmer","$3,645","-73.3%","5","-7","$729","$20,069","2","USA"
"16","-","Harry Potter and the Order of the Phoenix","$3,568","-","1","-","$3,568","$1,584,719","17","Unknown"
"17","14","Daddy Day Camp","$3,174","-60.8%","1","-1","$3,174","$310,805","5","Unknown"
"18","17","Atonement","$2,992","-35.9%","1","-","$2,992","$61,411","3","France, UK"
"19","8","Skinwalkers","$2,665","-91.3%","2","-12","$1,333","$167,613","3","Germany, USA"
"20","20","Ratatouille","$2,549","-6.1%","1","-","$2,549","$625,519","13","USA"
"21","18","Knocked Up","$2,296","-48.7%","1","-1","$2,296","$163,045","4","Unknown"
"22","19","The Bourne Ultimatum","$922","-67.7%","1","-","$922","$1,305,944","14","Germany, USA"
"23","15","Rush Hour 3","$825","-86.9%","1","-","$825","$1,532,458","12","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","The Brave One","$147,373","-","19","-","$7,756","$147,373","1","Australia, USA"
"2","N","Balls of Fury","$79,127","-","12","-","$6,594","$79,127","1","USA"
"3","N","The Lookout","$60,689","-","17","-","$3,570","$60,689","1","Unknown"
"4","N","A Mighty Heart","$59,447","-","18","-","$3,303","$59,447","1","Unknown"
"5","4","The Kingdom","$46,839","-44.7%","9","-7","$5,204","$1,067,998","4","Germany, USA"
"6","1","3:10 to Yuma (2007)","$43,936","-65.7%","16","-2","$2,746","$204,879","2","USA"
"7","5","Shoot 'Em Up","$32,256","-47.2%","4","-","$8,064","$111,585","2","USA"
"8","2","Skinwalkers","$30,687","-68.2%","14","-1","$2,192","$153,788","2","Germany, USA"
"9","6"," Omar Wa Salma","$28,604","-49.6%","9","-5","$3,178","$636,566","4","Unknown"
"10","7","Sukkar banat (Caramel)","$19,027","-63.0%","4","-8","$4,757","$91,386","2","France, Lebanon"
"11","3","The Invasion","$17,789","-79.2%","10","-8","$1,779","$125,566","2","Unknown"
"12","N","The Astronaut Farmer","$13,639","-","12","-","$1,137","$13,639","1","USA"
"13","N","The Ex","$10,772","-","5","-","$2,154","$10,772","1","USA"
"14","11","Daddy Day Camp","$8,097","-40.9%","2","-","$4,049","$306,607","4","Unknown"
"15","12","Rush Hour 3","$6,298","-2.6%","1","-","$6,298","$1,529,313","11","Unknown"
"16","8","Resident Evil: Extinction","$5,793","-85.9%","2","-12","$2,897","$590,103","4","Australia, France, Germany, UK, USA"
"17","9","Atonement","$4,665","-87.7%","1","-17","$4,665","$57,214","2","France, UK"
"18","10","Knocked Up","$4,473","-82.6%","2","-7","$2,237","$159,565","3","Unknown"
"19","15","The Bourne Ultimatum","$2,858","+62.5%","1","-","$2,858","$1,304,680","13","Germany, USA"
"20","14","Ratatouille","$2,714","-5.1%","1","-","$2,714","$622,693","12","USA"
"21","18"," Jing mo gaa ting (House of Fury)","$261","-71.6%","1","-2","$261","$32,824","3","Unknown"
"22","20"," Azur et Asmar","$172","-67.4%","1","-1","$172","$7,469","3","Belgium, France, Italy, Spain"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","3:10 to Yuma (2007)","$128,116","-","18","-","$7,118","$128,116","1","USA"
"2","N","Skinwalkers","$96,434","-","15","-","$6,429","$96,434","1","Germany, USA"
"3","N","The Invasion","$85,489","-","18","-","$4,749","$85,489","1","Unknown"
"4","1","The Kingdom","$84,721","-58.7%","16","-3","$5,295","$987,647","3","Germany, USA"
"5","N","Shoot 'Em Up","$61,059","-","4","-","$15,265","$61,059","1","USA"
"6","2"," Omar Wa Salma","$56,708","-57.3%","14","-5","$4,051","$589,995","3","Unknown"
"7","N","Sukkar banat (Caramel)","$51,441","-","12","-","$4,287","$51,441","1","France, Lebanon"
"8","3","Resident Evil: Extinction","$40,958","-63.9%","14","-3","$2,926","$571,091","3","Australia, France, Germany, UK, USA"
"9","N","Atonement","$38,000","-","18","-","$2,111","$38,000","1","France, UK"
"10","4","Knocked Up","$25,726","-74.3%","9","-10","$2,858","$149,178","2","Unknown"
"11","5","Daddy Day Camp","$13,694","-72.9%","2","-17","$6,847","$297,162","3","Unknown"
"12","-","Rush Hour 3","$6,465","-59.8%","1","-2","$6,465","$1,521,153","10","Unknown"
"13","-","Harry Potter and the Order of the Phoenix","$3,500","+12.3%","1","-","$3,500","$1,580,078","15","Unknown"
"14","-","Ratatouille","$2,860","-54.8%","1","-1","$2,860","$619,166","11","USA"
"15","-","The Bourne Ultimatum","$1,759","-73.1%","1","-2","$1,759","$1,301,404","12","Germany, USA"
"16","6","The Hoax","$1,193","-96.1%","1","-11","$1,193","$39,809","2","Unknown"
"17","-"," Prey (2007)","$1,080","-88.3%","2","-7","$540","$122,667","4","Unknown"
"18","-"," Jing mo gaa ting (House of Fury)","$919","-","3","-","$306","$32,240","2","Unknown"
"19","-","WAR","$534","-72.8%","1","-1","$534","$699,906","9","USA"
"20","-"," Azur et Asmar","$528","-","2","-","$264","$7,199","2","Belgium, France, Italy, Spain"
"21","-","The Contract","$345","-80.2%","1","-","$345","$191,320","6","Germany, USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","The Kingdom","$205,210","-56.0%","19","-12","$10,801","$844,619","2","Germany, USA"
"2","3"," Omar Wa Salma","$132,703","-48.3%","19","-","$6,984","$496,198","2","Unknown"
"3","2","Resident Evil: Extinction","$113,317","-61.0%","17","+1","$6,666","$497,165","2","Australia, France, Germany, UK, USA"
"4","N","Knocked Up","$100,011","-","19","-","$5,264","$100,011","1","Unknown"
"5","4","Daddy Day Camp","$50,583","-70.4%","19","-","$2,662","$276,721","2","Unknown"
"6","N","The Hoax","$30,768","-","12","-","$2,564","$30,768","1","Unknown"
"-","5","Rush Hour 3","$16,062","-52.5%","3","-2","$5,354","$1,509,801","9","Unknown"
"-","6"," Prey (2007)","$9,253","-68.1%","9","-2","$1,028","$118,776","3","Unknown"
"-","7","Georgia Rule","$7,876","-69.4%","10","-2","$788","$49,372","2","USA"
"-","9","The Bourne Ultimatum","$6,549","-37.7%","3","-","$2,183","$1,297,610","11","Germany, USA"
"-","8","Ratatouille","$6,328","-42.8%","2","-","$3,164","$615,130","10","USA"
"-","10","Harry Potter and the Order of the Phoenix","$3,118","-56.6%","1","-","$3,118","$1,575,693","14","Unknown"
"-","12","Hairspray (2007)","$2,278","-46.6%","1","-","$2,278","$136,649","8","UK, USA"
"-","13","WAR","$1,961","-36.5%","2","-4","$981","$698,655","8","USA"
"-","11","The Contract","$1,738","-63.5%","1","-4","$1,738","$190,548","5","Germany, USA"
"-","14","$1,246","-49.3%","1","-","$1,246","$1,572,363","16","USA",""
"-","17","Hot Rod","$448","-49.4%","1","-","$448","$84,666","5","Unknown"
"-","16","Journey to the End of the Night","$395","-69.9%","1","-","$395","$49,172","4","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","The Kingdom","$466,162","-","31","-","$15,037","$466,162","1","Germany, USA"
"2","N","Resident Evil: Extinction","$290,215","-","16","-","$18,138","$290,215","1","Australia, France, Germany, UK, USA"
"3","N"," Omar Wa Salma","$256,446","-","19","-","$13,497","$256,446","1","Unknown"
"4","N","Daddy Day Camp","$171,067","-","19","-","$9,004","$171,067","1","Unknown"
"5","4","Rush Hour 3","$33,824","+58.7%","5","-1","$6,765","$1,474,398","8","Unknown"
"6","1"," Prey (2007)","$29,023","-46.9%","11","+1","$2,638","$97,236","2","Unknown"
"7","N","Georgia Rule","$25,761","-","12","-","$2,147","$25,761","1","USA"
"8","12","Ratatouille","$11,059","+14.7%","2","-1","$5,530","$601,720","9","USA"
"9","9","The Bourne Ultimatum","$10,513","+3.6%","3","-","$3,504","$1,285,243","10","Germany, USA"
"10","18","Harry Potter and the Order of the Phoenix","$7,176","+150.9%","1","-","$7,176","$1,568,367","13","Unknown"
"11","2","The Contract","$4,765","-78.6%","5","-12","$953","$184,760","4","Germany, USA"
"12","16","Hairspray (2007)","$4,268","-18.8%","1","-","$4,268","$131,535","7","UK, USA"
"13","6","WAR","$3,090","-74.9%","6","-5","$515","$695,141","7","USA"
"14","23","$2,457","+73.0%","1","-","$2,457","$1,570,197","15","USA",""
"15","17","No Reservations","$1,472","-56.0%","1","-1","$1,472","$262,815","7","Unknown"
"16","10","Journey to the End of the Night","$1,310","-86.5%","1","-9","$1,310","$47,648","3","Unknown"
"17","13","Hot Rod","$886","-90.5%","1","-4","$886","$83,444","4","Unknown"
"18","14","Thr3e","$455","-92.8%","1","-4","$455","$34,925","3","Poland, USA"
"19","22","Bordertown","$455","-68.8%","1","-1","$455","$179,441","6","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N"," Prey (2007)","$54,620","-","10","-","$5,462","$54,620","1","Unknown"
"2","1","The Contract","$22,263","-41.3%","17","+1","$1,310","$173,160","3","Germany, USA"
"3","N","Good Bye Bafana","$21,318","-","10","-","$2,132","$21,318","1","Belgium, France, Germany, Italy, Luxem, S Afr, UK"
"4","4","Rush Hour 3","$21,315","-13.8%","6","-1","$3,553","$1,433,759","7","Unknown"
"5","3"," Grilled","$14,103","-45.8%","10","-2","$1,410","$46,663","2","Unknown"
"6","7","WAR","$12,307","-33.3%","11","-5","$1,119","$689,728","6","USA"
"7","N","Evening","$11,667","-","6","-","$1,945","$11,667","1","Germany, USA"
"8","N","Year of the Dog","$10,496","-","13","-","$807","$10,496","1","Unknown"
"9","10","The Bourne Ultimatum","$10,144","-2.6%","3","-","$3,381","$1,268,385","9","Germany, USA"
"10","2","Journey to the End of the Night","$9,709","-64.2%","10","-","$971","$43,560","2","Unknown"
"11","8"," Matab sena'y","$9,674","-22.2%","12","-2","$806","$715,333","6","Unknown"
"12","12","Ratatouille","$9,645","+5.8%","3","-","$3,215","$588,173","8","USA"
"13","6","Hot Rod","$9,340","-51.3%","5","-5","$1,868","$79,746","3","Unknown"
"14","5","Thr3e","$6,309","-67.9%","5","+1","$1,262","$31,964","2","Poland, USA"
"15","N","Factory Girl","$5,925","-","4","-","$1,481","$5,925","1","USA"
"16","13","Hairspray (2007)","$5,255","-25.6%","1","-","$5,255","$125,133","6","UK, USA"
"17","14","No Reservations","$3,342","-40.9%","2","-1","$1,671","$260,093","6","Unknown"
"18","18","Harry Potter and the Order of the Phoenix","$2,860","+14.8%","1","-","$2,860","$1,560,483","12","Unknown"
"19","16","Black Sheep (2007)","$2,346","-34.6%","4","-1","$587","$21,154","3","NZ"
"20","9"," Minotaur","$2,062","-80.7%","3","-6","$687","$78,321","4","France, Germany, Luxem, Spain, UK"
"21","19"," Andaleeb AlDokki","$1,513","-38.6%","3","-2","$504","$1,238,792","8","Unknown"
"22","17","Bordertown","$1,458","-49.6%","2","-2","$729","$177,944","5","USA"
"23","20","$1,420","-29.8%","1","-","$1,420","$1,567,300","14","USA",""
"24","11","Paris, je t'aime","$1,108","-88.7%","1","-3","$1,108","$14,735","2","France, Liech, Switzerland"
"25","21","Sicko","$1,068","-39.0%","1","-1","$1,068","$19,567","3","USA"
"26","23"," Gone (2007)","$599","+18.4%","1","-2","$599","$50,564","4","Unknown"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","The Contract","$37,952","-49.8%","16","+1","$2,372","$140,223","2","Germany, USA"
"2","N","Journey to the End of the Night","$27,095","-","10","-","$2,710","$27,095","1","Unknown"
"3","N"," Grilled","$26,012","-","12","-","$2,168","$26,012","1","Unknown"
"4","5","Rush Hour 3","$24,731","-16.6%","7","-1","$3,533","$1,405,427","6","Unknown"
"5","N","Thr3e","$19,628","-","4","-","$4,907","$19,628","1","Poland, USA"
"6","2","Hot Rod","$19,183","-49.3%","10","-9","$1,918","$67,286","2","Unknown"
"7","4","WAR","$18,447","-38.6%","16","+1","$1,153","$670,181","5","USA"
"8","6"," Matab sena'y","$12,438","-34.4%","14","-3","$888","$703,278","5","Unknown"
"9","8"," Minotaur","$10,698","-13.5%","9","-","$1,189","$74,275","3","France, Germany, Luxem, Spain, UK"
"10","10","The Bourne Ultimatum","$10,409","-2.4%","3","+1","$3,470","$1,264,405","8","Germany, USA"
"11","N","Paris, je t'aime","$9,798","-","4","-","$2,450","$9,798","1","France, Liech, Switzerland"
"12","11","Ratatouille","$9,113","-4.9%","3","-1","$3,038","$576,632","7","USA"
"13","12","Hairspray (2007)","$7,064","+7.5%","1","-","$7,064","$118,591","5","UK, USA"
"14","14","No Reservations","$5,658","-5.0%","3","-","$1,886","$255,244","5","Unknown"
