" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"5","3","The Final Destination","WB","$57,500","-23.0%","16","-","$3,594","$514,797","4"
"6","N"," Toy Story in 3D","Disney","$35,013","-","15","-","$2,334","$35,013","1"
"7","7","Up","Disney","$30,625","+81.2%","33","-4","$928","$3,388,893","11"
"8","4","The Hangover","WB","$30,147","-16.2%","19","-5","$1,587","$1,619,538","10"
"9","9","G-Force","Disney","$20,488","+134.8%","24","-1","$854","$935,884","8"
"10","6","The Time Traveler's Wife","Forum Films","$19,191","+12.1%","13","-1","$1,476","$403,455","7"
"11","5","The Ugly Truth","Sony","$16,870","-30.2%","15","-4","$1,125","$639,176","8"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Inglourious Basterds","UIP","$221,317","-14.6%","29","-","$7,632","$547,966","2","Unknown"
"2","N","Surrogates","Disney","$134,966","-","25","-","$5,399","$137,262","1","Unknown"
"3","2","The Final Destination","WB","$74,645","-34.1%","16","-","$4,665","$430,907","3","Unknown"
"4","3","The Hangover","WB","$35,994","-12.7%","24","-2","$1,500","$1,556,879","9","USA"
"5","5","The Ugly Truth","Sony","$24,165","-7.7%","19","-1","$1,272","$613,678","7","Unknown"
"6","6","The Time Traveler's Wife","Forum Films","$17,125","-29.9%","14","-","$1,223","$373,419","6","Unknown"
"7","4","Up","Disney","$16,902","-36.4%","37","-14","$457","$3,311,719","10","USA"
"8","7","The Taking of Pelham One, Two, Three","Sony","$12,512","-38.9%","11","-3","$1,137","$710,534","10","UK, USA"
"9","8","G-Force","Disney","$8,727","-38.6%","25","-8","$349","$903,029","7","Unknown"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Inglourious Basterds","UIP","$259,075","-","29","-","$8,934","$259,075","1","Unknown"
"2","1","The Final Destination","WB","$113,205","-31.7%","16","-","$7,075","$314,754","2","Unknown"
"3","2","The Hangover","WB","$41,207","-23.5%","26","-3","$1,585","$1,502,719","8","USA"
"4","3","Up","Disney","$26,569","-31.9%","51","-","$521","$3,286,144","9","USA"
"5","4","The Ugly Truth","Sony","$26,176","-32.3%","20","-","$1,309","$579,745","6","Unknown"
"6","5","The Time Traveler's Wife","Forum Films","$24,424","-19.1%","14","-","$1,745","$346,940","5","Unknown"
